"","Season","Player","Team","Pos","name","GSIS_ID"
"1",2014,"A.J. Green","CIN","WR","A.Green","00-0027942"
"2",2014,"A.J. Jenkins","KC","WR","A.Jenkins","00-0029654"
"3",2014,"Aaron Dobson","NE","WR","A.Dobson","00-0030540"
"4",2014,"Aaron Rodgers","GB","QB","A.Rodgers","00-0023459"
"5",2014,"Adam Thielen","MIN","WR","A.Thielen","00-0030035"
"6",2014,"Adam Vinatieri","IND","K","A.Vinatieri","00-0016919"
"7",2014,"Adrian Peterson","MIN","RB","A.Peterson","00-0025394"
"8",2014,"Adrien Robinson","NYG","TE","A.Robinson","00-0029281"
"9",2014,"Ahmad Bradshaw","IND","RB","A.Bradshaw","00-0025637"
"10",2014,"Albert Wilson","KC","WR","A.Wilson","00-0030669"
"11",2014,"Alex Henery","DET","K","A.Henery","00-0028058"
"12",2014,"Alex Smith","KC","QB","A.Smith","00-0023436"
"13",2014,"Alfonso Smith","SF","RB","A.Smith","00-0027346"
"14",2014,"Alfred Blue","HOU","RB","A.Blue","00-0031075"
"15",2014,"Alfred Morris","WAS","RB","A.Morris","00-0029141"
"16",2014,"Alshon Jeffery","CHI","WR","A.Jeffery","00-0029137"
"17",2014,"Andre Caldwell","DEN","WR","A.Caldwell","00-0026237"
"18",2014,"Andre Ellington","ARI","RB","A.Ellington","00-0030287"
"19",2014,"Andre Holmes","OAK","WR","A.Holmes","00-0028263"
"20",2014,"Andre Johnson","HOU","WR","A.Johnson","00-0022044"
"21",2014,"Andre Roberts","WAS","WR","A.Roberts","00-0027691"
"22",2014,"Andre Williams","NYG","RB","A.Williams","00-0031055"
"23",2014,"Andrew Hawkins","CLE","WR","A.Hawkins","00-0027918"
"24",2014,"Andrew Luck","IND","QB","A.Luck","00-0029668"
"25",2014,"Andrew Quarless","GB","TE","A.Quarless","00-0027753"
"26",2014,"Andy Dalton","CIN","QB","A.Dalton","00-0027973"
"27",2014,"Anquan Boldin","SF","WR","A.Boldin","00-0022084"
"28",2014,"Anthony Dixon","BUF","RB","A.Dixon","00-0027772"
"29",2014,"Anthony Fasano","KC","TE","A.Fasano","00-0024268"
"30",2014,"Anthony Sherman","KC","FB","A.Sherman","00-0028074"
"31",2014,"Antone Smith","ATL","RB","A.Smith","00-0026855"
"32",2014,"Antonio Brown","PIT","WR","A.Brown","00-0027793"
"33",2014,"Arian Foster","HOU","RB","A.Foster","00-0026796"
"34",2014,"Asante Cleveland","SF","TE","A.Cleveland","00-0030832"
"35",2014,"Austin Johnson","NO","FB","A.Johnson","00-0029729"
"36",2014,"Austin Seferian-Jenkins","TB","TE","A.Seferian-Jenkins","00-0031418"
"37",2014,"Bear Pascoe","ATL","TE","B.Pascoe","00-0026931"
"38",2014,"Ben Roethlisberger","PIT","QB","B.Roethlisberger","00-0022924"
"39",2014,"Benjamin Watson","NO","TE","B.Watson","00-0022943"
"40",2014,"Bernard Pierce","BAL","RB","B.Pierce","00-0029264"
"41",2014,"Bilal Powell","NYJ","RB","B.Powell","00-0028064"
"42",2014,"Billy Cundiff","CLE","K","B.Cundiff","00-0020972"
"43",2014,"Bishop Sankey","TEN","RB","B.Sankey","00-0031413"
"44",2014,"Blaine Gabbert","SF","QB","B.Gabbert","00-0027948"
"45",2014,"Blair Walsh","MIN","K","B.Walsh","00-0029576"
"46",2014,"Bobby Rainey","TB","RB","B.Rainey","00-0029384"
"47",2014,"Brad Smith","PHI","WR","B.Smith","00-0024318"
"48",2014,"Brandin Cooks","NO","WR","B.Cooks","00-0031236"
"49",2014,"Brandon Bolden","NE","RB","B.Bolden","00-0029239"
"50",2014,"Brandon Bostick","GB","TE","B.Bostick","00-0029601"
"51",2014,"Brandon Gibson","MIA","WR","B.Gibson","00-0026937"
"52",2014,"Brandon LaFell","NE","WR","B.LaFell","00-0027681"
"53",2014,"Brandon Lloyd","SF","WR","B.Lloyd","00-0022097"
"54",2014,"Brandon Marshall","CHI","WR","B.Marshall","00-0024334"
"55",2014,"Brandon McManus","DEN","K","B.McManus","00-0029822"
"56",2014,"Brandon Myers","TB","TE","B.Myers","00-0027135"
"57",2014,"Brandon Pettigrew","DET","TE","B.Pettigrew","00-0026996"
"58",2014,"Brandon Tate","CIN","WR","B.Tate","00-0027057"
"59",2014,"Brandon Weeden","DAL","QB","B.Weeden","00-0029677"
"60",2014,"Brandon Williams","CAR","TE","B.Williams","00-0029793"
"61",2014,"Brent Celek","PHI","TE","B.Celek","00-0025549"
"62",2014,"Brenton Bersin","CAR","WR","B.Bersin","00-0029394"
"63",2014,"Brian Hartline","MIA","WR","B.Hartline","00-0027077"
"64",2014,"Brian Hoyer","CLE","QB","B.Hoyer","00-0026625"
"65",2014,"Brian Leonhardt","OAK","TE","B.Leonhardt","00-0029755"
"66",2014,"Brian Tyms","NE","WR","B.Tyms","00-0028984"
"67",2014,"Brice Butler","OAK","WR","B.Butler","00-0030516"
"68",2014,"Brock Osweiler","DEN","QB","B.Osweiler","00-0029682"
"69",2014,"Bruce Ellington","SF","WR","B.Ellington","00-0031326"
"70",2014,"Bruce Miller","SF","FB","B.Miller","00-0028149"
"71",2014,"Bryan Walters","SEA","WR","B.Walters","00-0027595"
"72",2014,"Bryce Brown","BUF","RB","B.Brown","00-0029429"
"73",2014,"C.J. Anderson","DEN","RB","C.Anderson","00-0029854"
"74",2014,"C.J. Fiedorowicz","HOU","TE","C.Fiedorowicz","00-0031302"
"75",2014,"C.J. Spiller","BUF","RB","C.Spiller","00-0027861"
"76",2014,"Cairo Santos","KC","K","C.Santos","00-0031203"
"77",2014,"Caleb Sturgis","MIA","K","C.Sturgis","00-0030390"
"78",2014,"Calvin Johnson","DET","WR","C.Johnson","00-0025389"
"79",2014,"Cam Newton","CAR","QB","C.Newton","00-0027939"
"80",2014,"Cameron Brate","TB","TE","C.Brate","00-0031273"
"81",2014,"Carlos Hyde","SF","RB","C.Hyde","00-0031045"
"82",2014,"Carson Palmer","ARI","QB","C.Palmer","00-0021429"
"83",2014,"Case Keenum","HOU","QB","C.Keenum","00-0028986"
"84",2014,"Cedric Peerman","CIN","RB","C.Peerman","00-0026932"
"85",2014,"Chandler Catanzaro","ARI","K","C.Catanzaro","00-0030896"
"86",2014,"Charles Clay","MIA","TE","C.Clay","00-0028112"
"87",2014,"Charles D. Johnson","MIN","WR","C.Johnson","00-0030113"
"88",2014,"Charles Sims","TB","RB","C.Sims","00-0031390"
"89",2014,"Charlie Whitehurst","TEN","QB","C.Whitehurst","00-0024296"
"90",2014,"Chase Coffman","TEN","TE","C.Coffman","00-0027069"
"91",2014,"Chase Daniel","KC","QB","C.Daniel","00-0026544"
"92",2014,"Chase Ford","MIN","TE","C.Ford","00-0029432"
"93",2014,"Chris Gragg","BUF","TE","C.Gragg","00-0030049"
"94",2014,"Chris Hogan","BUF","WR","C.Hogan","00-0028237"
"95",2014,"Chris Ivory","NYJ","RB","C.Ivory","00-0027531"
"96",2014,"Chris Johnson","NYJ","RB","C.Johnson","00-0026164"
"97",2014,"Chris Owusu","NYJ","WR","C.Owusu","00-0028905"
"98",2014,"Chris Polk","PHI","RB","C.Polk","00-0029438"
"99",2014,"Chris Thompson","WAS","RB","C.Thompson","00-0030404"
"100",2014,"Christian Ponder","MIN","QB","C.Ponder","00-0027950"
"101",2014,"Christine Michael","SEA","RB","C.Michael","00-0030432"
"102",2014,"Coby Fleener","IND","TE","C.Fleener","00-0029697"
"103",2014,"Cody Latimer","DEN","WR","C.Latimer","00-0031344"
"104",2014,"Cody Parkey","PHI","K","C.Parkey","00-0030850"
"105",2014,"Cole Beasley","DAL","WR","C.Beasley","00-0029000"
"106",2014,"Colin Kaepernick","SF","QB","C.Kaepernick","00-0027974"
"107",2014,"Colt McCoy","WAS","QB","C.McCoy","00-0027688"
"108",2014,"Connor Barth","DEN","K","C.Barth","00-0026138"
"109",2014,"Connor Shaw","CLE","QB","C.Shaw","00-0030661"
"110",2014,"Cooper Helfet","SEA","TE","C.Helfet","00-0029534"
"111",2014,"Cordarrelle Patterson","MIN","WR","C.Patterson","00-0030578"
"112",2014,"Corey Brown","CAR","WR","C.Brown","00-0031118"
"113",2014,"Corey Fuller","DET","WR","C.Fuller","00-0030095"
"114",2014,"Corey Washington","NYG","WR","C.Washington","00-0030897"
"115",2014,"Courtney Roby","ATL","WR","C.Roby","00-0023503"
"116",2014,"Craig Stevens","TEN","TE","C.Stevens","00-0026225"
"117",2014,"Crockett Gillmore","BAL","TE","C.Gillmore","00-0030992"
"118",2014,"Cyrus Gray","KC","RB","C.Gray","00-0029298"
"119",2014,"Damaris Johnson","HOU","WR","D.Johnson","00-0029435"
"120",2014,"Damien Williams","MIA","RB","D.Williams","00-0030874"
"121",2014,"Dan Bailey","DAL","K","D.Bailey","00-0028660"
"122",2014,"Dan Carpenter","BUF","K","D.Carpenter","00-0026003"
"123",2014,"Dan Herron","IND","RB","D.Herron","00-0029588"
"124",2014,"Dane Sanzenbacher","CIN","WR","D.Sanzenbacher","00-0028352"
"125",2014,"Daniel Fells","NYG","TE","D.Fells","00-0023752"
"126",2014,"Daniel Thomas","MIA","RB","D.Thomas","00-0028000"
"127",2014,"Danny Amendola","NE","WR","D.Amendola","00-0026035"
"128",2014,"Dante Rosario","CHI","TE","D.Rosario","00-0025542"
"129",2014,"Darrel Young","WAS","FB","D.Young","00-0026852"
"130",2014,"Darren Fells","ARI","TE","D.Fells","00-0029738"
"131",2014,"Darren McFadden","OAK","RB","D.McFadden","00-0026144"
"132",2014,"Darren Sproles","PHI","RB","D.Sproles","00-0023564"
"133",2014,"Darrin Reaves","CAR","RB","D.Reaves","00-0031123"
"134",2014,"Darrius Heyward-Bey","PIT","WR","D.Heyward-Bey","00-0026983"
"135",2014,"Davante Adams","GB","WR","D.Adams","00-0031381"
"136",2014,"David Ausberry","OAK","TE","D.Ausberry","00-0028179"
"137",2014,"David Nelson","NYJ","WR","D.Nelson","00-0027322"
"138",2014,"De'Andre Presley","CAR","WR","D.Presley","00-0029463"
"139",2014,"De'Anthony Thomas","KC","RB","D.Thomas","00-0031060"
"140",2014,"DeAndre Hopkins","HOU","WR","D.Hopkins","00-0030564"
"141",2014,"DeAngelo Williams","CAR","RB","D.Williams","00-0024242"
"142",2014,"Delanie Walker","TEN","TE","D.Walker","00-0024389"
"143",2014,"DeMarco Murray","DAL","RB","D.Murray","00-0028009"
"144",2014,"Demaryius Thomas","DEN","WR","D.Thomas","00-0027874"
"145",2014,"Demetrius Harris","KC","TE","D.Harris","00-0030155"
"146",2014,"Denarius Moore","OAK","WR","D.Moore","00-0028086"
"147",2014,"Dennis Pitta","BAL","TE","D.Pitta","00-0027714"
"148",2014,"Derek Anderson","CAR","QB","D.Anderson","00-0023645"
"149",2014,"Derek Carr","OAK","QB","D.Carr","00-0031280"
"150",2014,"Derek Carrier","SF","TE","D.Carrier","00-0029119"
"151",2014,"Derek Hagan","TEN","WR","D.Hagan","00-0024297"
"152",2014,"DeSean Jackson","WAS","WR","D.Jackson","00-0026189"
"153",2014,"DeVier Posey","HOU","WR","D.Posey","00-0029673"
"154",2014,"Devin Hester","ATL","WR","D.Hester","00-0024272"
"155",2014,"Devin Street","DAL","WR","D.Street","00-0031310"
"156",2014,"Devonta Freeman","ATL","RB","D.Freeman","00-0031285"
"157",2014,"Dexter McCluster","TEN","RB","D.McCluster","00-0027651"
"158",2014,"Dez Bryant","DAL","WR","D.Bryant","00-0027902"
"159",2014,"Dion Sims","MIA","TE","D.Sims","00-0030422"
"160",2014,"Donnie Avery","KC","WR","D.Avery","00-0026173"
"161",2014,"Donte Moncrief","IND","WR","D.Moncrief","00-0031339"
"162",2014,"Doug Baldwin","SEA","WR","D.Baldwin","00-0028434"
"163",2014,"Doug Martin","TB","RB","D.Martin","00-0029613"
"164",2014,"Drew Brees","NO","QB","D.Brees","00-0020531"
"165",2014,"Drew Stanton","ARI","QB","D.Stanton","00-0025430"
"166",2014,"Dri Archer","PIT","RB","D.Archer","00-0031392"
"167",2014,"DuJuan Harris","GB","RB","D.Harris","00-0028409"
"168",2014,"Dwayne Allen","IND","TE","D.Allen","00-0029689"
"169",2014,"Dwayne Bowe","KC","WR","D.Bowe","00-0025410"
"170",2014,"Dwayne Harris","DAL","WR","D.Harris","00-0028114"
"171",2014,"Ed Dickson","CAR","TE","E.Dickson","00-0027675"
"172",2014,"Eddie Lacy","GB","RB","E.Lacy","00-0030485"
"173",2014,"Edwin Baker","NO","RB","E.Baker","00-0029317"
"174",2014,"EJ Manuel","BUF","QB","E.Manuel","00-0030526"
"175",2014,"Eli Manning","NYG","QB","E.Manning","00-0022803"
"176",2014,"Emmanuel Sanders","DEN","WR","E.Sanders","00-0027685"
"177",2014,"Eric Decker","NYJ","WR","E.Decker","00-0027690"
"178",2014,"Eric Ebron","DET","TE","E.Ebron","00-0031387"
"179",2014,"Eric Weems","ATL","WR","E.Weems","00-0024535"
"180",2014,"Erik Lorig","NO","FB","E.Lorig","00-0027844"
"181",2014,"Fitzgerald Toussaint","BAL","RB","F.Toussaint","00-0031332"
"182",2014,"Fozzy Whittaker","CAR","RB","F.Whittaker","00-0029731"
"183",2014,"Frank Gore","SF","RB","F.Gore","00-0023500"
"184",2014,"Frank Summers","BUF","FB","F.Summers","00-0026926"
"185",2014,"Frankie Hammond","KC","WR","F.Hammond","00-0030154"
"186",2014,"Fred Jackson","BUF","RB","F.Jackson","00-0024204"
"187",2014,"Freddie Martino","ATL","WR","F.Martino","00-0030737"
"188",2014,"Garrett Celek","SF","TE","G.Celek","00-0028903"
"189",2014,"Garrett Graham","HOU","TE","G.Graham","00-0027718"
"190",2014,"Garrett Hartley","CLE","K","G.Hartley","00-0025824"
"191",2014,"Gary Barnidge","CLE","TE","G.Barnidge","00-0026281"
"192",2014,"Gavin Escobar","DAL","TE","G.Escobar","00-0030544"
"193",2014,"Geno Smith","NYJ","QB","G.Smith","00-0030565"
"194",2014,"George Winn","DET","RB","G.Winn","00-0030247"
"195",2014,"Gerell Robinson","MIA","TE","G.Robinson","00-0028892"
"196",2014,"Giovani Bernard","CIN","RB","G.Bernard","00-0030456"
"197",2014,"Golden Tate","DET","WR","G.Tate","00-0027891"
"198",2014,"Graham Gano","CAR","K","G.Gano","00-0026858"
"199",2014,"Greg Jennings","MIN","WR","G.Jennings","00-0024267"
"200",2014,"Greg Little","CIN","WR","G.Little","00-0027997"
"201",2014,"Greg Olsen","CAR","TE","G.Olsen","00-0025418"
"202",2014,"Greg Salas","NYJ","WR","G.Salas","00-0028050"
"203",2014,"Griff Whalen","IND","WR","G.Whalen","00-0029033"
"204",2014,"Hakeem Nicks","IND","WR","H.Nicks","00-0027005"
"205",2014,"Harry Douglas","ATL","WR","H.Douglas","00-0026224"
"206",2014,"Heath Miller","PIT","TE","H.Miller","00-0023465"
"207",2014,"Henry Hynoski","NYG","FB","H.Hynoski","00-0028492"
"208",2014,"Isaiah Burse","DEN","WR","I.Burse","00-0030671"
"209",2014,"Isaiah Crowell","CLE","RB","I.Crowell","00-0030656"
"210",2014,"Jace Amaro","NYJ","TE","J.Amaro","00-0031042"
"211",2014,"Jack Doyle","IND","TE","J.Doyle","00-0030181"
"212",2014,"Jackie Battle","TEN","RB","J.Battle","00-0025701"
"213",2014,"Jacob Tamme","DEN","TE","J.Tamme","00-0026267"
"214",2014,"Jacoby Jones","BAL","WR","J.Jones","00-0025460"
"215",2014,"Jacquizz Rodgers","ATL","RB","J.Rodgers","00-0028083"
"216",2014,"Jake Locker","TEN","QB","J.Locker","00-0027946"
"217",2014,"Jalen Parmele","ARI","RB","J.Parmele","00-0026316"
"218",2014,"Jalen Saunders","NO","WR","J.Saunders","00-0031053"
"219",2014,"Jamaal Charles","KC","RB","J.Charles","00-0026213"
"220",2014,"James Casey","PHI","TE","J.Casey","00-0027109"
"221",2014,"James Develin","NE","FB","J.Develin","00-0027925"
"222",2014,"James Hanna","DAL","TE","J.Hanna","00-0029634"
"223",2014,"James Jones","OAK","WR","J.Jones","00-0025465"
"224",2014,"James Starks","GB","RB","J.Starks","00-0027791"
"225",2014,"James White","NE","RB","J.White","00-0031062"
"226",2014,"James Wright","CIN","WR","J.Wright","00-0031291"
"227",2014,"Jamize Olawale","OAK","RB","J.Olawale","00-0029492"
"228",2014,"Jarius Wright","MIN","WR","J.Wright","00-0029572"
"229",2014,"Jaron Brown","ARI","WR","J.Brown","00-0030300"
"230",2014,"Jarrett Boykin","GB","WR","J.Boykin","00-0029051"
"231",2014,"Jarvis Landry","MIA","WR","J.Landry","00-0031382"
"232",2014,"Jason Avant","KC","WR","J.Avant","00-0024324"
"233",2014,"Jason Campbell","CIN","QB","J.Campbell","00-0023460"
"234",2014,"Jason Witten","DAL","TE","J.Witten","00-0022127"
"235",2014,"Jay Cutler","CHI","QB","J.Cutler","00-0024226"
"236",2014,"Jay Feely","CHI","K","J.Feely","00-0019770"
"237",2014,"Jed Collins","DET","FB","J.Collins","00-0026072"
"238",2014,"Jeff Cumberland","NYJ","TE","J.Cumberland","00-0027321"
"239",2014,"Jeff Janis","GB","WR","J.Janis","00-0031001"
"240",2014,"Jeff Maehl","PHI","WR","J.Maehl","00-0028543"
"241",2014,"Jeremy Hill","CIN","RB","J.Hill","00-0031301"
"242",2014,"Jeremy Kerley","NYJ","WR","J.Kerley","00-0028091"
"243",2014,"Jeremy Maclin","PHI","WR","J.Maclin","00-0026995"
"244",2014,"Jeremy Ross","DET","WR","J.Ross","00-0028249"
"245",2014,"Jeremy Stewart","DEN","RB","J.Stewart","00-0029441"
"246",2014,"Jerick McKinnon","MIN","RB","J.McKinnon","00-0031376"
"247",2014,"Jermaine Gresham","CIN","TE","J.Gresham","00-0027873"
"248",2014,"Jermaine Kearse","SEA","WR","J.Kearse","00-0029159"
"249",2014,"Jerome Felton","MIN","FB","J.Felton","00-0026286"
"250",2014,"Jerrel Jernigan","NYG","WR","J.Jernigan","00-0028021"
"251",2014,"Jerricho Cotchery","CAR","WR","J.Cotchery","00-0022811"
"252",2014,"Jim Dray","CLE","TE","J.Dray","00-0027825"
"253",2014,"Jimmy Clausen","CHI","QB","J.Clausen","00-0027659"
"254",2014,"Jimmy Garoppolo","NE","QB","J.Garoppolo","00-0031345"
"255",2014,"Jimmy Graham","NO","TE","J.Graham","00-0027696"
"256",2014,"Joe Banyard","MIN","RB","J.Banyard","00-0029048"
"257",2014,"Joe Flacco","BAL","QB","J.Flacco","00-0026158"
"258",2014,"Joe McKnight","KC","RB","J.McKnight","00-0027712"
"259",2014,"John Brown","ARI","WR","J.Brown","00-0031051"
"260",2014,"John Carlson","ARI","TE","J.Carlson","00-0026178"
"261",2014,"John Conner","NYJ","FB","J.Conner","00-0027739"
"262",2014,"John Kuhn","GB","FB","J.Kuhn","00-0022999"
"263",2014,"Johnny Manziel","CLE","QB","J.Manziel","00-0031409"
"264",2014,"Joique Bell","DET","RB","J.Bell","00-0027218"
"265",2014,"Jonas Gray","NE","RB","J.Gray","00-0029104"
"266",2014,"Jonathan Dwyer","ARI","RB","J.Dwyer","00-0027786"
"267",2014,"Jonathan Grimes","HOU","RB","J.Grimes","00-0029510"
"268",2014,"Jonathan Stewart","CAR","RB","J.Stewart","00-0026153"
"269",2014,"Jordan Cameron","CLE","TE","J.Cameron","00-0028040"
"270",2014,"Jordan Matthews","PHI","WR","J.Matthews","00-0031299"
"271",2014,"Jordan Palmer","TEN","QB","J.Palmer","00-0025592"
"272",2014,"Jordan Reed","WAS","TE","J.Reed","00-0030472"
"273",2014,"Jordan Thompson","DET","TE","J.Thompson","00-0030647"
"274",2014,"Jordy Nelson","GB","WR","J.Nelson","00-0026176"
"275",2014,"Jorvorskie Lane","TB","FB","J.Lane","00-0029619"
"276",2014,"Joseph Fauria","DET","TE","J.Fauria","00-0029883"
"277",2014,"Joseph Morgan","NO","WR","J.Morgan","00-0028532"
"278",2014,"Joseph Randle","DAL","RB","J.Randle","00-0030388"
"279",2014,"Josh Bellamy","CHI","WR","J.Bellamy","00-0029319"
"280",2014,"Josh Brown","NYG","K","J.Brown","00-0021940"
"281",2014,"Josh Cribbs","IND","WR","J.Cribbs","00-0023176"
"282",2014,"Josh Gordon","CLE","WR","J.Gordon","00-0029664"
"283",2014,"Josh Harris","PIT","RB","J.Harris","00-0031450"
"284",2014,"Josh Hill","NO","TE","J.Hill","00-0030216"
"285",2014,"Josh Huff","PHI","WR","J.Huff","00-0030990"
"286",2014,"Josh McCown","TB","QB","J.McCown","00-0021206"
"287",2014,"Josh Morgan","CHI","WR","J.Morgan","00-0026314"
"288",2014,"Julian Edelman","NE","WR","J.Edelman","00-0027150"
"289",2014,"Julio Jones","ATL","WR","J.Jones","00-0027944"
"290",2014,"Julius Thomas","DEN","TE","J.Thomas","00-0028067"
"291",2014,"Junior Hemingway","KC","WR","J.Hemingway","00-0029311"
"292",2014,"Justin Brown","PIT","WR","J.Brown","00-0030466"
"293",2014,"Justin Forsett","BAL","RB","J.Forsett","00-0026373"
"294",2014,"Justin Hunter","TEN","WR","J.Hunter","00-0030521"
"295",2014,"Justin Tucker","BAL","K","J.Tucker","00-0029597"
"296",2014,"Juwan Thompson","DEN","RB","J.Thompson","00-0030705"
"297",2014,"Ka'Deem Carey","CHI","RB","K.Carey","00-0031057"
"298",2014,"Kai Forbath","WAS","K","K.Forbath","00-0028787"
"299",2014,"Kamar Aiken","BAL","WR","K.Aiken","00-0028497"
"300",2014,"Kassim Osgood","SF","WR","K.Osgood","00-0021570"
"301",2014,"Kellen Davis","DET","TE","K.Davis","00-0026298"
"302",2014,"Kelvin Benjamin","CAR","WR","K.Benjamin","00-0031359"
"303",2014,"Kenbrell Thompkins","OAK","WR","K.Thompkins","00-0030000"
"304",2014,"Kendall Wright","TEN","WR","K.Wright","00-0029708"
"305",2014,"Kenny Stills","NO","WR","K.Stills","00-0030085"
"306",2014,"Kerwynn Williams","ARI","RB","K.Williams","00-0030117"
"307",2014,"Keshawn Martin","HOU","WR","K.Martin","00-0029415"
"308",2014,"Kevin Brock","CIN","TE","K.Brock","00-0026699"
"309",2014,"Kevin Dorsey","GB","WR","K.Dorsey","00-0030116"
"310",2014,"Kevin Norwood","SEA","WR","K.Norwood","00-0031327"
"311",2014,"Kevin Ogletree","NYG","WR","K.Ogletree","00-0026780"
"312",2014,"Khiry Robinson","NO","RB","K.Robinson","00-0030348"
"313",2014,"Kirk Cousins","WAS","QB","K.Cousins","00-0029604"
"314",2014,"Knile Davis","KC","RB","K.Davis","00-0030280"
"315",2014,"Knowshon Moreno","MIA","RB","K.Moreno","00-0026988"
"316",2014,"Kris Durham","TEN","WR","K.Durham","00-0028045"
"317",2014,"Kyle Orton","BUF","QB","K.Orton","00-0023541"
"318",2014,"Kyle Rudolph","MIN","TE","K.Rudolph","00-0027981"
"319",2014,"Lamar Miller","MIA","RB","L.Miller","00-0029615"
"320",2014,"LaMichael James","MIA","RB","L.James","00-0029260"
"321",2014,"Lance Dunbar","DAL","RB","L.Dunbar","00-0029004"
"322",2014,"Lance Moore","PIT","WR","L.Moore","00-0023310"
"323",2014,"Larry Donnell","NYG","TE","L.Donnell","00-0028838"
"324",2014,"Larry Fitzgerald","ARI","WR","L.Fitzgerald","00-0022921"
"325",2014,"Latavius Murray","OAK","RB","L.Murray","00-0030513"
"326",2014,"Le'Veon Bell","PIT","RB","L.Bell","00-0030496"
"327",2014,"Lee Smith","BUF","TE","L.Smith","00-0028097"
"328",2014,"LeGarrette Blount","NE","RB","L.Blount","00-0027325"
"329",2014,"Leon Washington","TEN","RB","L.Washington","00-0024332"
"330",2014,"Leonard Hankerson","WAS","WR","L.Hankerson","00-0028017"
"331",2014,"LeSean McCoy","PHI","RB","L.McCoy","00-0027029"
"332",2014,"Levine Toilolo","ATL","TE","L.Toilolo","00-0030443"
"333",2014,"Logan Paulsen","WAS","TE","L.Paulsen","00-0027215"
"334",2014,"Logan Thomas","ARI","QB","L.Thomas","00-0031260"
"335",2014,"Lorenzo Taliaferro","BAL","RB","L.Taliaferro","00-0031066"
"336",2014,"Louis Murphy","TB","WR","L.Murphy","00-0027089"
"337",2014,"Luke Stocker","TB","TE","L.Stocker","00-0028042"
"338",2014,"Luke Willson","SEA","TE","L.Willson","00-0030089"
"339",2014,"Marcel Reece","OAK","FB","M.Reece","00-0026393"
"340",2014,"Marion Grice","ARI","RB","M.Grice","00-0030999"
"341",2014,"Mark Ingram","NO","RB","M.Ingram","00-0027966"
"342",2014,"Mark Sanchez","PHI","QB","M.Sanchez","00-0026898"
"343",2014,"Markus Wheaton","PIT","WR","M.Wheaton","00-0030460"
"344",2014,"Marlon Brown","BAL","WR","M.Brown","00-0030400"
"345",2014,"MarQueis Gray","BUF","TE","M.Gray","00-0029878"
"346",2014,"Marques Colston","NO","WR","M.Colston","00-0024466"
"347",2014,"Marquess Wilson","CHI","WR","M.Wilson","00-0030047"
"348",2014,"Marquise Goodwin","BUF","WR","M.Goodwin","00-0030068"
"349",2014,"Marshawn Lynch","SEA","RB","M.Lynch","00-0025399"
"350",2014,"Martavis Bryant","PIT","WR","M.Bryant","00-0031373"
"351",2014,"Martellus Bennett","CHI","TE","M.Bennett","00-0026201"
"352",2014,"Mason Crosby","GB","K","M.Crosby","00-0025580"
"353",2014,"Matt Asiata","MIN","RB","M.Asiata","00-0028198"
"354",2014,"Matt Barkley","PHI","QB","M.Barkley","00-0030533"
"355",2014,"Matt Bryant","ATL","K","M.Bryant","00-0020578"
"356",2014,"Matt Cassel","MIN","QB","M.Cassel","00-0023662"
"357",2014,"Matt Flynn","GB","QB","M.Flynn","00-0026349"
"358",2014,"Matt Forte","CHI","RB","M.Forte","00-0026184"
"359",2014,"Matt Hasselbeck","IND","QB","M.Hasselbeck","00-0007091"
"360",2014,"Matt McGloin","OAK","QB","M.McGloin","00-0030419"
"361",2014,"Matt Moore","MIA","QB","M.Moore","00-0025708"
"362",2014,"Matt Prater","DET","K","M.Prater","00-0023853"
"363",2014,"Matt Ryan","ATL","QB","M.Ryan","00-0026143"
"364",2014,"Matt Schaub","OAK","QB","M.Schaub","00-0022787"
"365",2014,"Matt Simms","NYJ","QB","M.Simms","00-0029151"
"366",2014,"Matt Spaeth","PIT","TE","M.Spaeth","00-0025464"
"367",2014,"Matthew Stafford","DET","QB","M.Stafford","00-0026498"
"368",2014,"Maurice Jones-Drew","OAK","RB","M.Jones-Drew","00-0024275"
"369",2014,"Michael Campanaro","BAL","WR","M.Campanaro","00-0031025"
"370",2014,"Michael Cox","NYG","RB","M.Cox","00-0030128"
"371",2014,"Michael Crabtree","SF","WR","M.Crabtree","00-0026986"
