PLAYER,POS,TEAM,AGE,YRS,DOLLARS,AVERAGE SALARY,GUARANTEED ,PRACTICAL GUARANTEES,% GTD,FREE AGENT
Matt Ryan (2018-2023),QB,ATL,34,5,"$150,000,000 ","$30,000,000 ","$94,500,000 ","$100,000,000 ",66.67%,2024
Khalil Mack (2018-2024),OLB,CHI,28,6,"$141,000,000 ","$23,500,000 ","$60,000,000 ","$90,000,000 ",63.83%,2025
Russell Wilson (2019-2023),QB,SEA,30,4,"$140,000,000 ","$35,000,000 ","$70,000,000 ","$107,000,000 ",76.43%,2024
Jimmy Garoppolo (2018-2022),QB,SF,27,5,"$137,500,000 ","$27,500,000 ","$41,700,000 ","$74,100,000 ",53.89%,2023
Matthew Stafford (2017-2022),QB,DET,31,5,"$135,000,000 ","$27,000,000 ","$60,500,000 ","$92,000,000 ",68.15%,2023
Aaron Donald (2018-2024),DT,LA,28,6,"$135,000,000 ","$22,500,000 ","$50,000,000 ","$86,892,000 ",64.36%,2025
Aaron Rodgers (2018-2023),QB,GB,35,4,"$134,000,000 ","$33,500,000 ","$79,200,000 ","$98,700,000 ",73.66%,2024
Carson Wentz (2019-2024),QB,PHI,26,4,"$128,000,000 ","$32,000,000 ","$66,470,683 ","$107,970,683 ",84.35%,2025
Derek Carr (2017-2022),QB,OAK,28,5,"$125,000,000 ","$25,000,000 ","$40,000,000 ","$70,200,000 ",56.16%,2023
Andrew Luck (2016-2021),QB,IND,29,5,"$122,970,000 ","$24,594,000 ","$44,000,000 ","$87,000,000 ",70.75%,2022
Von Miller (2016-2021),OLB,DEN,30,6,"$114,100,000 ","$19,016,667 ","$42,000,000 ","$70,000,000 ",61.35%,2022
DeMarcus Lawrence (2019-2023),DE,DAL,27,5,"$105,000,000 ","$21,000,000 ","$48,000,000 ","$65,000,000 ",61.90%,2024
Frank Clark (2019-2023),DE,KC,26,5,"$104,000,000 ","$20,800,000 ","$43,805,000 ","$62,305,000 ",59.91%,2024
Cam Newton (2015-2020),QB,CAR,30,5,"$103,800,000 ","$20,760,000 ","$41,000,000 ","$60,000,000 ",57.80%,2021
Fletcher Cox (2016-2022),DT,PHI,28,6,"$102,600,000 ","$17,100,000 ","$36,299,000 ","$63,299,000 ",61.69%,2023
J.J. Watt (2014-2021),DE,HOU,30,6,"$100,005,425 ","$16,667,571 ","$30,881,810 ","$51,876,000 ",51.87%,2022
Tyron Smith (2016-2023),LT,DAL,28,8,"$97,600,000 ","$12,200,000 ","$22,118,013 ","$22,118,013 ",22.66%,2024
Andy Dalton (2014-2020),QB,CIN,31,6,"$96,000,000 ","$16,000,000 ","$17,000,000 ","$17,000,000 ",17.71%,2021
Alex Smith (2018-2022),QB,WAS,35,4,"$94,000,000 ","$23,500,000 ","$55,000,000 ","$71,000,000 ",75.53%,2023
"Odell Beckham, Jr. (2018-2023)",WR,CLESigned w/NYG,26,5,"$90,000,000 ","$18,000,000 ","$40,959,000 ","$65,000,000 ",72.22%,2024
Trey Flowers (2019-2023),DE,DET,25,5,"$90,000,000 ","$18,000,000 ","$40,000,000 ","$56,000,000 ",62.22%,2024
Nick Foles (2019-2022),QB,JAX,30,4,"$88,000,000 ","$22,000,000 ","$45,125,000 ","$50,125,000 ",56.96%,2023
Dee Ford (2019-2023),OLB,SF,28,5,"$85,500,000 ","$17,100,000 ","$19,750,000 ","$33,350,000 ",39.01%,2024
Olivier Vernon (2016-2020),OLB,CLESigned w/NYG,28,5,"$85,000,000 ","$17,000,000 ","$40,500,000 ","$52,500,000 ",61.76%,2021
C.J. Mosley (2019-2023),ILB,NYJ,27,5,"$85,000,000 ","$17,000,000 ","$43,000,000 ","$51,000,000 ",60.00%,2024
Eli Manning (2015-2019),QB,NYG,38,4,"$84,000,000 ","$21,000,000 ","$54,000,000 ","$67,000,000 ",79.76%,2020
Kirk Cousins (2018-2020),QB,MIN,30,3,"$84,000,000 ","$28,000,000 ","$84,000,000 ","$84,000,000 ",100.00%,2021
Zack Martin (2018-2024),G,DAL,28,6,"$84,000,000 ","$14,000,000 ","$32,000,000 ","$40,000,000 ",47.62%,2025
Landon Collins (2019-2024),FS,WAS,25,6,"$84,000,000 ","$14,000,000 ","$26,000,000 ","$44,500,000 ",52.98%,2025
Philip Rivers (2015-2019),QB,LACSigned w/SD,37,4,"$83,250,000 ","$20,812,500 ","$37,500,000 ","$65,000,000 ",78.08%,2020
Chandler Jones (2017-2021),DE,ARI,29,5,"$82,500,000 ","$16,500,000 ","$31,000,000 ","$51,000,000 ",61.82%,2022
Mike Evans (2018-2023),WR,TB,25,5,"$82,500,000 ","$16,500,000 ","$38,258,000 ","$55,008,000 ",66.68%,2024
DeAndre Hopkins (2017-2022),WR,HOU,27,5,"$81,000,000 ","$16,200,000 ","$36,500,000 ","$49,000,000 ",60.49%,2023
Brandin Cooks (2018-2023),WR,LA,25,5,"$81,000,000 ","$16,200,000 ","$20,459,000 ","$49,459,000 ",61.06%,2024
Kawann Short (2017-2021),DT,CAR,30,5,"$80,500,000 ","$16,100,000 ","$35,000,000 ","$35,000,000 ",43.48%,2022
Taylor Lewan (2018-2023),LT,TEN,27,5,"$80,000,000 ","$16,000,000 ","$34,000,000 ","$50,000,000 ",62.50%,2024
Jarvis Landry (2018-2022),WR,CLE,26,5,"$75,500,000 ","$15,100,000 ","$34,000,000 ","$47,000,000 ",62.25%,2023
Xavien Howard (2019-2024),CB,MIA,25,5,"$75,250,000 ","$15,050,000 ","$27,185,641 ","$39,260,641 ",52.17%,2025
Josh Norman (2016-2020),CB,WAS,31,5,"$75,000,000 ","$15,000,000 ","$36,500,000 ","$50,000,000 ",66.67%,2021
