"Rank, Player",Pos,Team,PosRank
1. Todd Gurley II,RB,LAR,RB1
2. David Johnson,RB,ARI,RB2
3. Ezekiel Elliott,RB,DAL,RB3
4. Saquon Barkley,RB,NYG,RB4
5. Antonio Brown,WR,PIT,WR1
6. Alvin Kamara,RB,NO,RB5
7. Kareem Hunt,RB,KC,RB6
8. Julio Jones,WR,ATL,WR2
9. Odell Beckham Jr.,WR,NYG,WR3
10. DeAndre Hopkins,WR,HOU,WR4
11. Leonard Fournette,RB,JAC,RB7
12. Dalvin Cook,RB,MIN,RB8
13. Melvin Gordon,RB,LAC,RB9
14. Christian McCaffrey,RB,CAR,RB10
15. Keenan Allen,WR,LAC,WR5
16. Michael Thomas,WR,NO,WR6
17. Le'Veon Bell,RB,PIT,RB11
18. A.J. Green,WR,CIN,WR7
19. Devonta Freeman,RB,ATL,RB12
20. Rob Gronkowski,TE,NE,TE1
21. Davante Adams,WR,GB,WR8
22. Mike Evans,WR,TB,WR9
23. LeSean McCoy,RB,BUF,RB13
24. T.Y. Hilton,WR,IND,WR10
25. Adam Thielen,WR,MIN,WR11
26. Stefon Diggs,WR,MIN,WR12
27. Tyreek Hill,WR,KC,WR13
28. Larry Fitzgerald,WR,ARI,WR14
29. Travis Kelce,TE,KC,TE2
30. Zach Ertz,TE,PHI,TE3
31. Doug Baldwin,WR,SEA,WR15
32. Allen Robinson,WR,CHI,WR16
33. Amari Cooper,WR,OAK,WR17
34. Demaryius Thomas,WR,DEN,WR18
35. Josh Gordon,WR,CLE,WR19
36. Jordan Howard,RB,CHI,RB14
37. Joe Mixon,RB,CIN,RB15
38. Kenyan Drake,RB,MIA,RB16
39. Marvin Jones Jr.,WR,DET,WR20
40. Brandin Cooks,WR,LAR,WR21
41. Chris Hogan,WR,NE,WR22
42. Jarvis Landry,WR,CLE,WR23
43. Derrick Henry,RB,TEN,RB17
44. Royce Freeman,RB,DEN,RB18
45. Alex Collins,RB,BAL,RB19
46. Jay Ajayi,RB,PHI,RB20
47. Marshawn Lynch,RB,OAK,RB21
48. Lamar Miller,RB,HOU,RB22
49. Mark Ingram II,RB,NO,RB23
50. Rex Burkhead,RB,NE,RB24
51. Golden Tate,WR,DET,WR24
52. JuJu Smith-Schuster,WR,PIT,WR25
53. Emmanuel Sanders,WR,DEN,WR26
54. Corey Davis,WR,TEN,WR27
55. Carlos Hyde,RB,CLE,RB25
56. Aaron Rodgers,QB,GB,QB1
57. Tom Brady,QB,NE,QB2
58. Dion Lewis,RB,TEN,RB26
59. Tevin Coleman,RB,ATL,RB27
60. Alfred Morris,RB,SF,RB28
61. Chris Carson,RB,SEA,RB29
62. Marquise Goodwin,WR,SF,WR28
63. Devin Funchess,WR,CAR,WR29
64. Michael Crabtree,WR,BAL,WR30
65. Robert Woods,WR,LAR,WR31
66. Cam Newton,QB,CAR,QB3
67. Russell Wilson,QB,SEA,QB4
68. Deshaun Watson,QB,HOU,QB5
69. Carson Wentz,QB,PHI,QB6
70. Robby Anderson,WR,NYJ,WR32
71. Sammy Watkins,WR,KC,WR33
72. Will Fuller V,WR,HOU,WR34
73. Alshon Jeffery,WR,PHI,WR35
74. Cooper Kupp,WR,LAR,WR36
75. Josh Doctson,WR,WAS,WR37
76. Pierre Garcon,WR,SF,WR38
77. Greg Olsen,TE,CAR,TE4
78. Delanie Walker,TE,TEN,TE5
79. Evan Engram,TE,NYG,TE6
80. Peyton Barber,RB,TB,RB30
81. Kelvin Benjamin,WR,BUF,WR39
82. Kenny Stills,WR,MIA,WR40
83. Isaiah Crowell,RB,NYJ,RB31
84. Jimmy Graham,TE,GB,TE7
85. Duke Johnson Jr.,RB,CLE,RB32
86. Rashaad Penny,RB,SEA,RB33
87. Chris Thompson,RB,WAS,RB34
88. Nelson Agholor,WR,PHI,WR41
89. Jamison Crowder,WR,WAS,WR42
90. Jordan Reed,TE,WAS,TE8
91. Jordy Nelson,WR,OAK,WR43
92. Keelan Cole,WR,JAC,WR44
93. Julian Edelman,WR,NE,WR45
94. Jamaal Williams,RB,GB,RB35
95. Adrian Peterson,RB,WAS,RB36
96. Kerryon Johnson,RB,DET,RB37
97. Tarik Cohen,RB,CHI,RB38
98. Sony Michel,RB,NE,RB39
99. Kyle Rudolph,TE,MIN,TE9
100. James Conner,RB,PIT,RB40
101. Sterling Shepard,WR,NYG,WR46
102. Tyler Lockett,WR,SEA,WR47
103. Allen Hurns,WR,DAL,WR48
104. Kenny Golladay,WR,DET,WR49
105. Randall Cobb,WR,GB,WR50
106. Paul Richardson,WR,WAS,WR51
107. Jordan Wilkins,RB,IND,RB41
108. Matt Breida,RB,SF,RB42
109. Ronald Jones II,RB,TB,RB43
110. Trey Burton,TE,CHI,TE10
111. David Njoku,TE,CLE,TE11
112. Giovani Bernard,RB,CIN,RB44
113. Bilal Powell,RB,NYJ,RB45
114. James White,RB,NE,RB46
115. John Ross,WR,CIN,WR52
116. Mohamed Sanu,WR,ATL,WR53
117. Andrew Luck,QB,IND,QB7
118. Ben Roethlisberger,QB,PIT,QB8
119. Kirk Cousins,QB,MIN,QB9
120. Jack Doyle,TE,IND,TE12
121. Chris Godwin,WR,TB,WR54
122. Michael Gallup,WR,DAL,WR55
123. DJ Moore,WR,CAR,WR56
124. DeVante Parker,WR,MIA,WR57
125. Mike Wallace,WR,PHI,WR58
126. DeSean Jackson,WR,TB,WR59
127. Matthew Stafford,QB,DET,QB10
128. Drew Brees,QB,NO,QB11
129. Danny Amendola,WR,MIA,WR60
130. Rishard Matthews,WR,TEN,WR61
131. Cameron Meredith,WR,NO,WR62
132. James Washington,WR,PIT,WR63
133. Charles Clay,TE,BUF,TE13
134. Matt Ryan,QB,ATL,QB12
135. Patrick Mahomes,QB,KC,QB13
136. Tyler Eifert,TE,CIN,TE14
137. Philip Rivers,QB,LAC,QB14
138. Jimmy Garoppolo,QB,SF,QB15
139. Alex Smith,QB,WAS,QB16
140. Tyrod Taylor,QB,CLE,QB17
141. John Brown,WR,BAL,WR64
142. Anthony Miller,WR,CHI,WR65
143. Calvin Ridley,WR,ATL,WR66
144. Courtland Sutton,WR,DEN,WR67
145. Donte Moncrief,WR,JAC,WR68
146. Mike Williams,WR,LAC,WR69
147. Ty Montgomery,RB,GB,RB47
148. Theo Riddick,RB,DET,RB48
149. Jeremy Hill,RB,NE,RB49
150. Aaron Jones,RB,GB,RB50
151. Marlon Mack,RB,IND,RB51
152. Doug Martin,RB,OAK,RB52
153. Latavius Murray,RB,MIN,RB53
154. Corey Clement,RB,PHI,RB54
155. Javorius Allen,RB,BAL,RB55
156. Jaguars D/ST,DST,JAC,DST1
157. George Kittle,TE,SF,TE15
158. Ryan Grant,WR,IND,WR70
159. Dede Westbrook,WR,JAC,WR71
160. Quincy Enunwa,WR,NYJ,WR72
161. Devontae Booker,RB,DEN,RB56
162. Marcus Mariota,QB,TEN,QB18
163. Dak Prescott,QB,DAL,QB19
164. Benjamin Watson,TE,NO,TE16
165. Christian Kirk,WR,ARI,WR73
166. Antonio Gates,TE,LAC,TE17
167. C.J. Anderson,RB,CAR,RB57
168. Jared Goff,QB,LAR,QB20
169. Taywan Taylor,WR,TEN,WR74
170. Eagles D/ST,DST,PHI,DST2
171. Rams D/ST,DST,LAR,DST3
172. Vikings D/ST,DST,MIN,DST4
173. Ravens D/ST,DST,BAL,DST5
174. Texans D/ST,DST,HOU,DST6
175. Greg Zuerlein,K,LAR,K1
176. Stephen Gostkowski,K,NE,K2
177. Justin Tucker,K,BAL,K3
178. Patriots D/ST,DST,NE,DST7
179. Chargers D/ST,DST,LAC,DST8
180. Broncos D/ST,DST,DEN,DST9
181. Saints D/ST,DST,NO,DST10
182. Titans D/ST,DST,TEN,DST11
183. Bears D/ST,DST,CHI,DST12
184. Matt Bryant,K,ATL,K4
185. Wil Lutz,K,NO,K5
186. Chris Boswell,K,PIT,K6
187. Robbie Gould,K,SF,K7
188. Jake Elliott,K,PHI,K8
189. Matt Prater,K,DET,K9
190. Harrison Butker,K,KC,K10
191. Adam Vinatieri,K,IND,K11
192. Graham Gano,K,CAR,K12
193. Nyheim Hines,RB,IND,RB58
194. Darren Sproles,RB,PHI,RB59
195. Austin Ekeler,RB,LAC,RB60
196. Austin Seferian-Jenkins,TE,JAC,TE18
197. Vance McDonald,TE,PIT,TE19
198. Cameron Brate,TE,TB,TE20
199. Nick Chubb,RB,CLE,RB61
200. LeGarrette Blount,RB,DET,RB62
201. Chase Edmonds,RB,ARI,RB63
202. Chris Ivory,RB,BUF,RB64
203. Phillip Lindsay,RB,DEN,RB65
204. T.J. Yeldon,RB,JAC,RB66
205. Mike Gillislee,RB,NO,RB67
206. Kenneth Dixon,RB,BAL,RB68
207. Frank Gore,RB,MIA,RB69
208. Christine Michael,RB,IND,RB70
209. Alfred Blue,RB,HOU,RB71
210. Austin Hooper,TE,ATL,TE21
211. Jared Cook,TE,OAK,TE22
