FantasyPros.com 
2018 NFL Rankings 


Rank,Player Name,Team,Position,Min,Max,STD Dev
1,Todd Gurley,LAR,RB,1,2,0.40,
2,Ezekiel Elliott,DAL,RB,2,3,0.49,
3,David Johnson,ARI,RB,1,5,1.33,
4,Alvin Kamara,NO,RB,4,6,0.80,
5,Antonio Brown,OAK,WR,5,7,0.80,
6,Saquon Barkley,NYG,RB,6,11,1.83,
7,DeAndre Hopkins,HOU,WR,7,9,0.89,
8,Kareem Hunt,CLE,RB,5,17,4.41,
9,Melvin Gordon,LAC,RB,7,13,2.32,
10,Odell Beckham Jr.,CLE,WR,9,11,0.63,
11,Leonard Fournette,JAC,RB,4,22,6.15,
12,Julio Jones,ATL,WR,10,14,1.62,
13,Keenan Allen,LAC,WR,13,20,2.58,
14,Michael Thomas,NO,WR,14,17,1.02,
15,Le'Veon Bell,NYJ,RB,3,31,10.15,
16,Christian McCaffrey,CAR,RB,12,23,4.79,
17,Davante Adams,GB,WR,15,20,1.74,
18,Dalvin Cook,MIN,RB,13,29,5.38,
19,Jordan Howard,PHI,RB,14,27,5.39,
20,A.J. Green,CIN,WR,18,34,6.10,
21,Devonta Freeman,ATL,RB,16,28,4.12,
22,Rob Gronkowski,FA,TE,17,31,4.76,
23,Joe Mixon,CIN,RB,17,38,7.34,
24,Travis Kelce,KC,TE,19,52,11.60,
25,Royce Freeman,DEN,RB,17,49,11.14,
26,Zach Ertz,PHI,TE,23,41,6.00,
27,Mike Evans,TB,WR,23,48,8.89,
28,Jay Ajayi,FA,RB,18,44,8.40,
29,Kenyan Drake,MIA,RB,24,43,7.00,
30,Derrick Henry,TEN,RB,24,37,4.59,
31,Aaron Rodgers,GB,QB,32,36,1.50,
32,Alex Collins,FA,RB,25,42,6.26,
33,Lamar Miller,HOU,RB,28,53,8.98,
34,Cam Newton,CAR,QB,33,46,4.87,
35,Russell Wilson,SEA,QB,36,56,7.28,
36,Deshaun Watson,HOU,QB,30,59,10.53,
37,Rex Burkhead,NE,RB,27,66,12.92,
38,Tom Brady,NE,QB,33,55,8.38,
39,LeSean McCoy,BUF,RB,29,71,17.41,
40,Drew Brees,NO,QB,39,58,6.72,
41,Jimmy Graham,GB,TE,29,65,12.03,
42,T.Y. Hilton,IND,WR,20,28,3.77,
43,Josh Gordon,NE,WR,22,92,25.00,
44,Dion Lewis,TEN,RB,32,75,14.55,
45,Tyreek Hill,KC,WR,12,34,8.64,
46,Stefon Diggs,MIN,WR,21,41,8.15,
47,Matthew Stafford,DET,QB,47,62,6.28,
48,Evan Engram,NYG,TE,45,69,8.29,
49,Kirk Cousins,MIN,QB,45,60,5.83,
50,Trey Burton,CHI,TE,43,68,10.17,
51,Greg Olsen,CAR,TE,49,67,6.80,
52,Philip Rivers,LAC,QB,46,71,8.07,
53,Adam Thielen,MIN,WR,21,51,11.18,
54,JuJu Smith-Schuster,PIT,WR,28,44,6.40,
55,Amari Cooper,DAL,WR,37,45,2.86,
56,Chris Carson,SEA,RB,50,79,12.35,
57,Jimmy Garoppolo,SF,QB,56,85,10.64,
58,Mark Ingram,BAL,RB,43,93,19.32,
59,Ben Roethlisberger,PIT,QB,55,78,9.59,
60,Delanie Walker,TEN,TE,52,91,12.95,
61,Chris Hogan,CAR,WR,43,49,2.38,
62,Larry Fitzgerald,ARI,WR,35,70,14.25,
63,Kyle Rudolph,MIN,TE,57,83,9.11,
64,Marshawn Lynch,FA,RB,38,58,7.23,
65,Matt Ryan,ATL,QB,59,87,9.89,
66,Patrick Mahomes,KC,QB,48,95,17.37,
67,Golden Tate,NYG,WR,32,72,14.17,
68,Carlos Hyde,KC,RB,38,71,13.50,
69,Jared Goff,LAR,QB,68,89,6.95,
70,Marcus Mariota,TEN,QB,54,89,12.98,
71,Doug Baldwin,FA,WR,34,78,18.63,
72,Tevin Coleman,SF,RB,39,82,15.70,
73,Andrew Luck,IND,QB,65,94,9.87,
74,David Njoku,CLE,TE,64,97,13.16,
75,Jarvis Landry,CLE,WR,30,82,19.66,
76,Jordan Reed,WAS,TE,60,105,14.66,
77,Alex Smith,WAS,QB,59,102,13.96,
78,Peyton Barber,TB,RB,62,72,4.15,
79,Marquise Goodwin,SF,WR,57,85,11.29,
80,Demaryius Thomas,NE,WR,58,84,9.68,
81,George Kittle,SF,TE,74,107,10.90,
82,Jamaal Williams,GB,RB,39,90,19.58,
83,Marvin Jones,DET,WR,61,96,14.47,
84,Allen Robinson,CHI,WR,63,79,5.83,
85,Jack Doyle,IND,TE,81,101,7.18,
86,Brandin Cooks,LAR,WR,56,89,12.07,
87,Carson Wentz,PHI,QB,50,125,27.12,
88,Corey Davis,TEN,WR,56,90,12.70,
89,O.J. Howard,TB,TE,67,118,16.40,
90,Emmanuel Sanders,DEN,WR,68,91,8.44,
91,Alfred Morris,DAL,RB,46,63,7.59,
92,Dak Prescott,DAL,QB,78,115,11.99,
93,Jacksonville Jaguars,JAC,DST,77,109,11.50,
94,Robert Woods,LAR,WR,60,102,15.71,
95,Robby Anderson,NYJ,WR,69,116,19.38,
96,Will Fuller,HOU,WR,73,102,11.55,
97,Blake Bortles,LAR,QB,75,136,21.22,
98,Los Angeles Rams,LAR,DST,81,115,11.74,
99,Cooper Kupp,LAR,WR,74,106,14.36,
100,Jamison Crowder,NYJ,WR,73,98,10.57,
101,Minnesota Vikings,MIN,DST,84,125,13.34,
102,Devin Funchess,IND,WR,80,103,9.20,
103,Tyler Eifert,CIN,TE,99,126,10.19,
104,Ricky Seals-Jones,ARI,TE,73,129,22.09,
105,Kenny Stills,MIA,WR,76,117,18.43,
106,Andy Dalton,CIN,QB,91,124,11.16,
107,Derek Carr,OAK,QB,99,140,14.79,
108,Los Angeles Chargers,LAC,DST,88,130,13.80,
109,Case Keenum,WAS,QB,89,141,19.31,
110,Eli Manning,NYG,QB,96,126,11.82,
111,Michael Crabtree,FA,WR,65,136,25.82,
112,Philadelphia Eagles,PHI,DST,86,136,17.53,
113,Benjamin Watson,NE,TE,90,120,12.19,
114,Chicago Bears,CHI,DST,102,137,12.51,
115,Mitch Trubisky,CHI,QB,79,155,24.25,
116,Jared Cook,NO,TE,106,140,12.12,
117,Kerryon Johnson,DET,RB,53,55,1.00,
118,Alshon Jeffery,PHI,WR,95,126,13.79,
119,Sammy Watkins,KC,WR,77,142,24.89,
120,Houston Texans,HOU,DST,95,120,9.83,
121,Nelson Agholor,PHI,WR,86,111,10.53,
122,New Orleans Saints,NO,DST,91,135,16.49,
123,Baltimore Ravens,BAL,DST,112,132,7.30,
124,Jordy Nelson,FA,WR,98,147,19.91,
125,Jameis Winston,TB,QB,106,149,13.68,
126,Greg Zuerlein,LAR,K,96,160,20.48,
127,Charles Clay,ARI,TE,80,134,22.05,
128,Stephen Gostkowski,NE,K,100,134,13.01,
129,Austin Hooper,ATL,TE,85,131,18.80,
130,Cameron Brate,TB,TE,98,142,18.89,
131,Denver Broncos,DEN,DST,108,145,14.94,
132,Tyrod Taylor,LAC,QB,92,159,30.69,
