name,Pos,Team,points_abv_avg
C.McCaffrey,RB,CAR,123.49414851415315
S.Barkley,RB,NYG,119.27236363433326
T.Kelce,TE,KC,108.4570663520409
G.Kittle,TE,SF,108.27595303032308
J.Jones,WR,ATL,103.98960848380398
E.Elliott,RB,DAL,101.38654513264376
T.Gurley,RB,LA,97.98059595356614
D.Hopkins,WR,HOU,91.60351798811666
T.Hill,WR,KC,91.42813153396867
Z.Ertz,TE,PHI,85.83442483834068
A.Kamara,RB,NO,84.88303568109126
M.Evans,WR,TB,78.53332510429027
D.Adams,WR,GB,70.21268929190131
J.Smith-Schuster,WR,PIT,69.86673295684903
M.Thomas,WR,NO,69.4903622535657
A.Thielen,WR,MIN,66.43569248588375
P.Mahomes,QB,KC,65.08763176997843
A.Brown,WR,OAK,57.724648586120736
J.Conner,RB,PIT,55.53052007165991
R.Woods,WR,LA,50.23696329918204
M.Gordon,RB,LAC,48.53964993963484
D.Watson,QB,HOU,47.74674737488888
J.White,RB,NE,46.03035061853427
T.Hilton,WR,IND,42.672377729518075
B.Roethlisberger,QB,PIT,42.14824179074989
M.Ryan,QB,ATL,41.784848500269874
K.Allen,WR,LAC,41.769585740175046
D.Johnson,RB,ARI,40.130774979071845
B.Cooks,WR,LA,39.56321680790916
J.Mixon,RB,CIN,38.61179376291534
T.Cohen,RB,CHI,37.48003476530113
J.Cook,TE,NO,36.381511937832016
A.Rodgers,QB,GB,32.36864609812167
A.Luck,QB,IND,30.821507180379825
E.Ebron,TE,IND,27.548580127412748
J.Goff,QB,LA,27.095694180327655
CHI_DEF,DEF,CHI,25.699656752044902
O.Beckham,WR,CLE,23.000942030229993
S.Diggs,WR,MIN,21.333257865443443
BAL_DEF,DEF,BAL,20.408153117034416
P.Lindsay,RB,DEN,19.371100333246517
K.Hunt,RB,CLE,18.751483573123153
C.Newton,QB,CAR,18.09697399942172
J.Myers,K,SEA,17.647687291723713
D.Prescott,QB,DAL,16.913116636544288
C.Carson,RB,SEA,15.093040349785895
K.Cousins,QB,MIN,14.098502188920037
K.Golladay,WR,DET,13.066499279656625
R.Wilson,QB,SEA,12.01323197593723
T.Boyd,WR,CIN,11.510756628381984
JAX_DEF,DEF,JAX,10.918912077585773
MIN_DEF,DEF,MIN,10.742380174944046
T.Brady,QB,NE,10.061565165457068
LAC_DEF,DEF,LAC,10.006230499387456
K.Drake,RB,MIA,9.984033295924348
A.Peterson,RB,WAS,9.694676268092792
A.Cooper,WR,DAL,9.045033919662586
A.Hooper,TE,ATL,8.833389232103613
J.Landry,WR,CLE,8.499509905914863
T.Lockett,WR,SEA,7.504603958292137
J.Tucker,K,BAL,7.197118930829433
P.Rivers,QB,LAC,6.962192467349695
A.Rosas,K,NYG,6.8224433777717906
W.Lutz,K,NO,6.323378596304053
M.Trubisky,QB,CHI,6.167084580735519
M.Crosby,K,GB,5.947559146479563
K.Fairbairn,K,HOU,5.117647621458431
KC_DEF,DEF,KC,4.952813361309708
DAL_DEF,DEF,DAL,4.426663532699749
D.Brees,QB,NO,4.287722829932733
T.Coleman,RB,SF,4.126485861876915
D.Njoku,TE,CLE,3.283221288528651
K.Rudolph,TE,MIN,3.2675874138633674
LA_DEF,DEF,LA,2.081644332336836
R.Gould,K,SF,1.481269153158948
PIT_DEF,DEF,PIT,1.2396157694250718
N.Chubb,RB,CLE,0.5705846519277884
E.Manning,QB,NYG,0.386864095113566
D.Henry,RB,TEN,0.38296079355581014
J.Graham,TE,GB,0.09772648105166581
S.Gostkowski,K,NE,-1.2406463637416039
TEN_DEF,DEF,TEN,-1.5235769443894611
J.Richard,RB,OAK,-1.551107003372863
CIN_DEF,DEF,CIN,-1.6573209846279866
L.Miller,RB,HOU,-1.6614955449635431
SEA_DEF,DEF,SEA,-1.7985560032672225
V.McDonald,TE,PIT,-1.8649010654957863
A.Ekeler,RB,LAC,-2.22624343185376
E.Engram,TE,NYG,-2.2395269443566406
BUF_DEF,DEF,BUF,-2.3091160280279297
M.Breida,RB,SF,-2.527737854369235
J.Edelman,WR,NE,-2.5488112327783767
NE_DEF,DEF,NE,-2.917705377427083
M.Prater,K,DET,-3.4600673687302077
B.Maher,K,DAL,-3.666123982532312
T.Burton,TE,CHI,-4.286936124911875
B.Mayfield,QB,CLE,-5.080247986161311
C.Keenum,QB,WAS,-5.244946483563268
E.Sanders,WR,DEN,-5.909718892695054
O.Howard,TE,TB,-6.164662715976547
H.Butker,K,KC,-7.363678996119532
MIA_DEF,DEF,MIA,-7.4487584683626125
J.Elliott,K,PHI,-7.50202314155905
R.Succop,K,TEN,-7.6356369879189145
D.Lewis,RB,TEN,-7.829737833599694
SF_DEF,DEF,SF,-7.985080631118436
J.Howard,RB,PHI,-8.228608242602377
J.Reed,TE,WAS,-8.471089559692473
C.Davis,WR,TEN,-8.577902313637168
D.Carr,QB,OAK,-8.640919897653077
CLE_DEF,DEF,CLE,-8.867577133468004
NYJ_DEF,DEF,NYJ,-8.966056298423283
D.Hopkins,K,WAS,-9.319902495297868
