name,Pos,Team,points_abv_avg
S.Barkley,RB,NYG,88.39404017510022
C.McCaffrey,RB,CAR,85.59280197725077
E.Elliott,RB,DAL,83.0158229533716
T.Gurley,RB,LA,73.72127003337165
G.Kittle,TE,SF,71.15814732906246
T.Kelce,TE,KC,67.93772225681825
J.Jones,WR,ATL,65.94202775055757
T.Hill,WR,KC,61.393229563072765
P.Mahomes,QB,KC,60.80049201610399
D.Hopkins,WR,HOU,55.611586121218096
A.Kamara,RB,NO,53.61802318980803
Z.Ertz,TE,PHI,51.32638102570637
M.Evans,WR,TB,50.84789603306561
D.Watson,QB,HOU,47.50027091361528
B.Roethlisberger,QB,PIT,44.05227550634032
J.Smith-Schuster,WR,PIT,42.571674663112134
M.Ryan,QB,ATL,40.72907387612861
D.Adams,WR,GB,40.45900162496409
J.Conner,RB,PIT,40.41501137419728
M.Thomas,WR,NO,39.99125645830205
A.Thielen,WR,MIN,39.75911151074726
J.Mixon,RB,CIN,36.250242111727246
R.Woods,WR,LA,35.3605660329512
A.Rodgers,QB,GB,33.45845934291043
M.Gordon,RB,LAC,33.410639111046535
A.Brown,WR,OAK,32.76592750629206
D.Johnson,RB,ARI,30.348196448406398
A.Luck,QB,IND,30.116031668102153
J.Goff,QB,LA,28.779934515605532
T.Hilton,WR,IND,27.590653624935072
B.Cooks,WR,LA,26.69297507452191
K.Allen,WR,LAC,26.514033789811606
CHI_DEF,DEF,CHI,25.93550500734537
J.Cook,TE,NO,25.895423476732574
C.Carson,RB,SEA,22.18978808781948
BAL_DEF,DEF,BAL,20.644001372334884
P.Lindsay,RB,DEN,20.01336494838479
J.Myers,K,SEA,19.481076829495237
K.Hunt,RB,CLE,18.07849971619798
D.Prescott,QB,DAL,16.5646537804289
J.White,RB,NE,16.4458690279195
A.Peterson,RB,WAS,15.91263738798753
C.Newton,QB,CAR,15.67749769547595
K.Cousins,QB,MIN,15.533959092051532
E.Ebron,TE,IND,14.18043181626409
T.Cohen,RB,CHI,14.137987310481066
O.Beckham,WR,CLE,13.82854722551457
JAX_DEF,DEF,JAX,11.15476033288624
T.Brady,QB,NE,11.029205951663982
MIN_DEF,DEF,MIN,10.978228430244513
S.Diggs,WR,MIN,10.323013084819053
LAC_DEF,DEF,LAC,10.242078754687924
D.Henry,RB,TEN,9.166995228590807
M.Crosby,K,GB,8.24250909792859
K.Golladay,WR,DET,8.140233228418907
A.Rosas,K,NYG,7.945607806396879
R.Wilson,QB,SEA,7.6411020559579015
N.Chubb,RB,CLE,7.489515642331085
P.Rivers,QB,LAC,7.081734691481699
J.Tucker,K,BAL,6.748674464573696
L.Miller,RB,HOU,6.340693672975576
W.Lutz,K,NO,6.22690122473287
J.Landry,WR,CLE,5.953213116604388
T.Boyd,WR,CIN,5.6905792177834655
T.Lockett,WR,SEA,5.53793217549314
E.Manning,QB,NYG,5.265008223593213
A.Cooper,WR,DAL,4.719617833145037
DAL_DEF,DEF,DAL,4.6625117880002165
A.Hooper,TE,ATL,3.964431779210841
M.Trubisky,QB,CHI,3.687002244705866
K.Fairbairn,K,HOU,3.072158021717698
T.Coleman,RB,SF,2.5504425260506594
LA_DEF,DEF,LA,2.317492587637304
D.Njoku,TE,CLE,1.890359069362134
M.Breida,RB,SF,1.816471025531314
J.Howard,RB,PHI,1.5061243006130383
PIT_DEF,DEF,PIT,1.4754640247255395
R.Gould,K,SF,1.447313685203838
K.Rudolph,TE,MIN,0.886764448115315
E.Engram,TE,NYG,0.5688315212256612
J.Graham,TE,GB,0.3267599556881038
J.Edelman,WR,NE,-0.22096512892409237
D.Brees,QB,NO,-0.3637500742522093
V.McDonald,TE,PIT,-0.9869057520289317
K.Drake,RB,MIA,-1.0635214377240487
TEN_DEF,DEF,TEN,-1.2877286890889934
CIN_DEF,DEF,CIN,-1.421472729327519
SEA_DEF,DEF,SEA,-1.5627077479667548
BUF_DEF,DEF,BUF,-2.073267772727462
S.Gostkowski,K,NE,-2.1405031510007433
O.Howard,TE,TB,-2.2746948559427977
M.Mack,RB,IND,-2.3096950634840994
NE_DEF,DEF,NE,-2.6818571221266154
D.Carr,QB,OAK,-2.9377391042597765
M.Prater,K,DET,-3.373899669184169
E.Sanders,WR,DEN,-3.7005572356755323
T.Burton,TE,CHI,-3.7474103362077784
C.Keenum,QB,WAS,-3.7632764474523697
B.Maher,K,DAL,-3.7808448692139365
B.Mayfield,QB,CLE,-3.8797823974821313
C.Davis,WR,TEN,-4.850888493871267
J.Reed,TE,WAS,-5.194325375871102
D.Moore,WR,CAR,-5.841256131101275
A.Ekeler,RB,LAC,-6.328432413572614
M.Andrews,TE,BAL,-6.659167989022777
MIA_DEF,DEF,MIA,-7.212910213062145
R.Succop,K,TEN,-7.219984637529649
S.Michel,RB,NE,-7.240726910561349
J.Elliott,K,PHI,-7.340752766238978
SF_DEF,DEF,SF,-7.749232375817968
S.Hauschka,K,BUF,-8.220676763648655
A.Jones,RB,GB,-8.268061083134171
S.Shepard,WR,NYG,-8.358061091012857
CLE_DEF,DEF,CLE,-8.631728878167536
NYJ_DEF,DEF,NYJ,-8.730208043122815
M.Stafford,QB,DET,-9.334404491618443
D.Hopkins,K,WAS,-9.44479687856942
P.Barber,RB,TB,-9.824829622982904
D.Cook,RB,MIN,-9.99775626236287
M.Sanu,WR,ATL,-10.332563417667856
C.Herndon,TE,NYJ,-10.465578554613387
T.Yeldon,RB,BUF,-10.68077210295607
DEN_DEF,DEF,DEN,-10.756998713553088
C.Ridley,WR,ATL,-11.146172052832327
IND_DEF,DEF,IND,-11.267785033526792
H.Butker,K,KC,-11.642782394663257
A.Jeffery,WR,PHI,-11.760142646695257
NO_DEF,DEF,NO,-11.866193450623626
CAR_DEF,DEF,CAR,-12.167951528750649
D.Lewis,RB,TEN,-12.257225416196562
C.Godwin,WR,TB,-12.449614890773105
G.Tate,WR,NYG,-15.035987296377343
J.Richard,RB,OAK,-15.13549255616688
A.Humphries,WR,TEN,-15.249242173802187
D.Jackson,WR,PHI,-15.785947241330348
K.Johnson,RB,DET,-15.941104669203085
D.Westbrook,WR,JAX,-17.05022999588512
C.Uzomah,TE,CIN,-17.19443678882989
J.Winston,QB,TB,-17.25637669629191
J.James,TE,DET,-18.101200955251514
I.Crowell,RB,OAK,-18.2542882253897
M.Ingram,RB,BAL,-19.264253513244597
J.Allen,QB,BUF,-19.57742769586247
F.Gore,RB,BUF,-20.073029151843244
B.Watson,TE,NE,-20.294689736545976
N.Agholor,WR,PHI,-20.359058561964645
D.Martin,RB,OAK,-20.97094282936527
R.Anderson,WR,NYJ,-21.7334291959385
B.Bortles,QB,LA,-21.77169019161704
L.Fitzgerald,WR,ARI,-21.968668952914058
J.Gordon,WR,NE,-22.158056712130787
V.Davis,TE,WAS,-22.46228370088116
J.Nelson,WR,OAK,-23.34845049203338
T.Gabriel,WR,CHI,-23.951765167951606
A.Green,WR,CIN,-24.428767879900008
J.Brown,WR,BUF,-24.81806262098479
D.Goedert,TE,PHI,-25.268155886603047
I.Thomas,TE,CAR,-25.43042981415553
M.Williams,WR,LAC,-25.63991806232734
N.Hines,RB,IND,-26.141960951795284
L.McCoy,RB,BUF,-26.1705733113711
G.Everett,TE,LA,-26.359821342136414
R.Seals-Jones,TE,ARI,-26.536741266771287
M.Mariota,QB,TEN,-27.086225696098268
B.Jarwin,TE,DAL,-27.159410323324423
C.Sutton,WR,DEN,-27.28009451533933
M.Davis,RB,CHI,-28.115177003023206
G.Edwards,RB,BAL,-28.442448503643377
C.Wentz,QB,PHI,-29.07114064980476
L.Murray,RB,NO,-29.60003066142575
D.Moncrief,WR,PIT,-30.100165319819496
Z.Jones,WR,BUF,-30.13805051657485
C.Beasley,WR,BUF,-30.586864117348426
C.Kirk,WR,ARI,-33.47658593851713
J.Williams,RB,GB,-33.95289546312324
C.Kupp,WR,LA,-34.02371013865023
L.Fournette,RB,JAX,-34.09265174801318
S.Darnold,QB,NYJ,-34.964741409636474
D.Johnson,RB,ARI,-35.49715063769729
M.Valdes-Scantling,WR,GB,-36.674604722991845
A.Blue,RB,JAX,-36.717813381177606
C.Samuel,WR,CAR,-37.2251949239955
W.Smallwood,RB,PHI,-38.353471428603
C.Hyde,RB,KC,-39.96986982891484
R.Freeman,RB,DEN,-40.58192135574268
J.Adams,RB,PHI,-42.47926327812253
T.Riddick,RB,DET,-42.689077438322386
A.Dalton,QB,CIN,-46.57368103559301
L.Jackson,QB,BAL,-47.3036805099713
R.Fitzpatrick,QB,MIA,-48.52511981239351
A.Smith,QB,WAS,-55.50766536183265
