name,Pos,Team,points_abv_avg
S.Barkley,RB,NYG,88.39404018
C.McCaffrey,RB,CAR,85.59280198
E.Elliott,RB,DAL,83.01582295
T.Gurley,RB,LA,73.72127003
G.Kittle,TE,SF,71.15814733
T.Kelce,TE,KC,67.93772226
J.Jones,WR,ATL,65.94202775
T.Hill,WR,KC,61.39322956
P.Mahomes,QB,KC,60.80049202
D.Hopkins,WR,HOU,55.61158612
A.Kamara,RB,NO,53.61802319
Z.Ertz,TE,PHI,51.32638103
M.Evans,WR,TB,50.84789603
D.Watson,QB,HOU,47.50027091
B.Roethlisberger,QB,PIT,44.05227551
J.Smith-Schuster,WR,PIT,42.57167466
M.Ryan,QB,ATL,40.72907388
D.Adams,WR,GB,40.45900162
J.Conner,RB,PIT,40.41501137
M.Thomas,WR,NO,39.99125646
A.Thielen,WR,MIN,39.75911151
J.Mixon,RB,CIN,36.25024211
R.Woods,WR,LA,35.36056603
A.Rodgers,QB,GB,33.45845934
M.Gordon,RB,LAC,33.41063911
A.Brown,WR,OAK,32.76592751
D.Johnson,RB,ARI,30.34819645
A.Luck,QB,IND,30.11603167
J.Goff,QB,LA,28.77993452
T.Hilton,WR,IND,27.59065362
B.Cooks,WR,LA,26.69297507
K.Allen,WR,LAC,26.51403379
CHI_DEF,DEF,CHI,25.93550501
J.Cook,TE,NO,25.89542348
C.Carson,RB,SEA,22.18978809
BAL_DEF,DEF,BAL,20.64400137
P.Lindsay,RB,DEN,20.01336495
J.Myers,K,SEA,19.48107683
K.Hunt,RB,CLE,18.07849972
D.Prescott,QB,DAL,16.56465378
J.White,RB,NE,16.44586903
A.Peterson,RB,WAS,15.91263739
C.Newton,QB,CAR,15.6774977
K.Cousins,QB,MIN,15.53395909
E.Ebron,TE,IND,14.18043182
T.Cohen,RB,CHI,14.13798731
O.Beckham,WR,CLE,13.82854723
JAX_DEF,DEF,JAX,11.15476033
T.Brady,QB,NE,11.02920595
MIN_DEF,DEF,MIN,10.97822843
S.Diggs,WR,MIN,10.32301308
LAC_DEF,DEF,LAC,10.24207875
D.Henry,RB,TEN,9.166995229
M.Crosby,K,GB,8.242509098
K.Golladay,WR,DET,8.140233228
A.Rosas,K,NYG,7.945607806
R.Wilson,QB,SEA,7.641102056
N.Chubb,RB,CLE,7.489515642
P.Rivers,QB,LAC,7.081734691
J.Tucker,K,BAL,6.748674465
L.Miller,RB,HOU,6.340693673
W.Lutz,K,NO,6.226901225
J.Landry,WR,CLE,5.953213117
T.Boyd,WR,CIN,5.690579218
T.Lockett,WR,SEA,5.537932175
E.Manning,QB,NYG,5.265008224
A.Cooper,WR,DAL,4.719617833
DAL_DEF,DEF,DAL,4.662511788
A.Hooper,TE,ATL,3.964431779
M.Trubisky,QB,CHI,3.687002245
K.Fairbairn,K,HOU,3.072158022
T.Coleman,RB,SF,2.550442526
LA_DEF,DEF,LA,2.317492588
D.Njoku,TE,CLE,1.890359069
M.Breida,RB,SF,1.816471026
J.Howard,RB,PHI,1.506124301
PIT_DEF,DEF,PIT,1.475464025
R.Gould,K,SF,1.447313685
K.Rudolph,TE,MIN,0.886764448
E.Engram,TE,NYG,0.568831521
J.Graham,TE,GB,0.326759956
J.Edelman,WR,NE,-0.220965129
D.Brees,QB,NO,-0.363750074
V.McDonald,TE,PIT,-0.986905752
K.Drake,RB,MIA,-1.063521438
TEN_DEF,DEF,TEN,-1.287728689
CIN_DEF,DEF,CIN,-1.421472729
SEA_DEF,DEF,SEA,-1.562707748
BUF_DEF,DEF,BUF,-2.073267773
S.Gostkowski,K,NE,-2.140503151
O.Howard,TE,TB,-2.274694856
M.Mack,RB,IND,-2.309695063
NE_DEF,DEF,NE,-2.681857122
D.Carr,QB,OAK,-2.937739104
M.Prater,K,DET,-3.373899669
E.Sanders,WR,DEN,-3.700557236
T.Burton,TE,CHI,-3.747410336
C.Keenum,QB,WAS,-3.763276447
B.Maher,K,DAL,-3.780844869
B.Mayfield,QB,CLE,-3.879782397
C.Davis,WR,TEN,-4.850888494
J.Reed,TE,WAS,-5.194325376
D.Moore,WR,CAR,-5.841256131
A.Ekeler,RB,LAC,-6.328432414
M.Andrews,TE,BAL,-6.659167989
MIA_DEF,DEF,MIA,-7.212910213
R.Succop,K,TEN,-7.219984638
S.Michel,RB,NE,-7.240726911
J.Elliott,K,PHI,-7.340752766
SF_DEF,DEF,SF,-7.749232376
S.Hauschka,K,BUF,-8.220676764
A.Jones,RB,GB,-8.268061083
S.Shepard,WR,NYG,-8.358061091
CLE_DEF,DEF,CLE,-8.631728878
NYJ_DEF,DEF,NYJ,-8.730208043
M.Stafford,QB,DET,-9.334404492
D.Hopkins,K,WAS,-9.444796879
P.Barber,RB,TB,-9.824829623
D.Cook,RB,MIN,-9.997756262
M.Sanu,WR,ATL,-10.33256342
C.Herndon,TE,NYJ,-10.46557855
T.Yeldon,RB,BUF,-10.6807721
DEN_DEF,DEF,DEN,-10.75699871
C.Ridley,WR,ATL,-11.14617205
IND_DEF,DEF,IND,-11.26778503
H.Butker,K,KC,-11.64278239
A.Jeffery,WR,PHI,-11.76014265
NO_DEF,DEF,NO,-11.86619345
CAR_DEF,DEF,CAR,-12.16795153
D.Lewis,RB,TEN,-12.25722542
C.Godwin,WR,TB,-12.44961489
G.Tate,WR,NYG,-15.0359873
J.Richard,RB,OAK,-15.13549256
A.Humphries,WR,TEN,-15.24924217
D.Jackson,WR,PHI,-15.78594724
K.Johnson,RB,DET,-15.94110467
D.Westbrook,WR,JAX,-17.05023
C.Uzomah,TE,CIN,-17.19443679
J.Winston,QB,TB,-17.2563767
J.James,TE,DET,-18.10120096
I.Crowell,RB,OAK,-18.25428823
M.Ingram,RB,BAL,-19.26425351
J.Allen,QB,BUF,-19.5774277
F.Gore,RB,BUF,-20.07302915
B.Watson,TE,NE,-20.29468974
N.Agholor,WR,PHI,-20.35905856
D.Martin,RB,OAK,-20.97094283
R.Anderson,WR,NYJ,-21.7334292
B.Bortles,QB,LA,-21.77169019
L.Fitzgerald,WR,ARI,-21.96866895
J.Gordon,WR,NE,-22.15805671
V.Davis,TE,WAS,-22.4622837
J.Nelson,WR,OAK,-23.34845049
T.Gabriel,WR,CHI,-23.95176517
A.Green,WR,CIN,-24.42876788
