abs_value,name,value
0.4354704050593531,punt.rets,0.4354704050593531
0.26955315259591967,Sacks,0.26955315259591967
0.12933553008068197,pass.comp,-0.12933553008068197
0.08362097128720895,puntret.avg,0.08362097128720895
0.0833183794532652,recept_past_sched,-0.0833183794532652
0.07571790561705591,recept,-0.07571790561705591
0.07432843662362837,rush.att,0.07432843662362837
0.034173847175152046,kickret.avg,0.034173847175152046
0.0275612268074198,punt.rets_past_sched,0.0275612268074198
0.025049329314576863,YA299,0.025049329314576863
0.01119127679268439,pass.att_past_sched,0.01119127679268439
0.01003143134041666,passyds_past_sched,0.01003143134041666
0.009732747159895716,passyds,0.009732747159895716
0.005465238659280137,puntret.avg_past_sched,0.005465238659280137
0.003292375415871934,rushtds_past_sched,0.003292375415871934
0.002993618466442948,rushyds,-0.002993618466442948
0.002171612114891866,rushyds_past_sched,-0.002171612114891866
0.0017987162133966668,kickret.avg_past_sched,0.0017987162133966668
0.0010526155188498203,rush.att_past_sched,0.0010526155188498203
0.0004096180068780354,rushtds,0.0004096180068780354
0.00031740282679248484,pass.att,0.00031740282679248484
0.0,turnovers,0.0
0.0,totalfumbs_past_sched,-0.0
0.0,totalfumbs_delta_sched,0.0
0.0,totalfumbs,-0.0
0.0,td_rush_per_att,-0.0
0.0,td_rec_per_att,-0.0
0.0,td_pass_per_comp,-0.0
0.0,td_pass_per_att,-0.0
0.0,rushyds_delta_sched,0.0
0.0,rushtds_delta_sched,0.0
0.0,rush_per_att,-0.0
0.0,rush.twoptm_past_sched,0.0
0.0,rush.twoptm_delta_sched,0.0
0.0,rush.twoptm,0.0
0.0,rush.att_delta_sched,0.0
0.0,recyds_past_sched,0.0
0.0,recyds_delta_sched,0.0
0.0,recyds,0.0
0.0,recept_delta_sched,0.0
0.0,rec_per_att,-0.0
0.0,rec.twoptm_past_sched,0.0
0.0,rec.twoptm_delta_sched,0.0
0.0,rec.twoptm,0.0
0.0,rec.tds_past_sched,-0.0
0.0,rec.tds_delta_sched,0.0
0.0,rec.tds,-0.0
0.0,puntret.tds_past_sched,0.0
0.0,puntret.tds_delta_sched,0.0
0.0,puntret.tds,0.0
0.0,puntret.avg_delta_sched,0.0
0.0,punt.rets_delta_sched,0.0
0.0,passyds_delta_sched,0.0
0.0,pass_per_comp,-0.0
0.0,pass_per_att,-0.0
0.0,pass.twoptm_past_sched,0.0
0.0,pass.twoptm_delta_sched,0.0
0.0,pass.twoptm,0.0
0.0,pass.tds_past_sched,-0.0
0.0,pass.tds_delta_sched,0.0
0.0,pass.tds,-0.0
0.0,pass.ints_past_sched,0.0
0.0,pass.ints_delta_sched,0.0
0.0,pass.ints,0.0
0.0,pass.comp_past_sched,-0.0
0.0,pass.comp_delta_sched,0.0
0.0,pass.att_delta_sched,0.0
0.0,kickret.tds_past_sched,0.0
0.0,kickret.tds_delta_sched,0.0
0.0,kickret.tds,0.0
0.0,kickret.avg_delta_sched,0.0
0.0,kick.rets_past_sched,-0.0
0.0,kick.rets_delta_sched,0.0
0.0,kick.rets,-0.0
0.0,fumbslost_past_sched,-0.0
0.0,fumbslost_delta_sched,0.0
0.0,fumbslost,-0.0
0.0,exp,-0.0
0.0,YA550,-0.0
0.0,YA549,0.0
0.0,YA499,-0.0
0.0,YA449,-0.0
0.0,YA399,-0.0
0.0,YA349,0.0
0.0,YA199,0.0
0.0,YA100,-0.0
0.0,TD,0.0
0.0,Sfty,0.0
0.0,Season,-0.0
0.0,7_13pts,0.0
0.0,45pts,-0.0
0.0,35_45pts,-0.0
0.0,28_34pts,-0.0
0.0,1_6pts,0.0
0.0,18_27pts,-0.0
0.0,14_17pts,0.0
0.0,0pts,0.0
