,Team,name,pos_keep,predicted_points
3161,ARI,L.Fitzgerald,WR,118.61274719238281
3162,ARI,J.Gresham,TE,51.94854736328125
3163,ARI,J.Nelson,WR,34.64926528930664
3164,ARI,D.Johnson,RB,91.88375091552734
3165,ARI,R.Seals-Jones,TE,19.890256881713867
3166,ARI,C.Williams,WR,15.150246620178223
3167,BAL,J.Brown,WR,52.7244987487793
3168,NYG,E.Penny,RB,7.696911334991455
3169,SEA,J.Brown,WR,26.157556533813477
3170,TEN,B.Gabbert,QB,54.96028518676758
3171,WAS,A.Peterson,RB,83.01914978027344
3172,ARI,S.Bradford,QB,57.377498626708984
3173,NYG,S.Coley,WR,4.324057579040527
3174,WAS,M.Floyd,WR,45.217281341552734
3175,CAR,J.Wright,WR,29.43769073486328
3176,DEN,C.Keenum,QB,143.3359832763672
3177,JAX,B.Bell,TE,6.4094672203063965
3178,MIN,K.Rudolph,TE,68.78412628173828
3179,MIN,A.Thielen,WR,98.23519897460938
3180,MIN,L.Murray,RB,79.73294067382812
3181,MIN,S.Diggs,WR,85.39810180664062
3182,MIN,D.Morgan,TE,8.746254920959473
3183,MIN,L.Treadwell,WR,14.035932540893555
3184,MIN,C.Ham,RB,7.127106189727783
3185,MIN,D.Cook,RB,48.02583312988281
3186,NO,T.Bridgewater,QB,7.3393144607543945
3187,ARI,D.Coleman,RB,4.978765964508057
3188,ATL,M.Ryan,QB,173.91310119628906
3189,ATL,J.Jones,WR,123.91525268554688
3190,ATL,M.Sanu,WR,83.18811798095703
3191,ATL,D.Freeman,RB,80.3587417602539
3192,ATL,J.Hardy,WR,17.214221954345703
3193,ATL,T.Coleman,RB,60.875389099121094
3194,ATL,A.Hooper,TE,38.89085006713867
3195,ATL,M.Hall,WR,5.80098819732666
3196,CHI,T.Gabriel,WR,37.63102340698242
3197,DET,L.Toilolo,TE,15.460946083068848
3198,LA,N.Williams,WR,10.32872200012207
3199,NYJ,A.Roberts,WR,20.81920051574707
3200,ARI,M.Glennon,QB,35.19574737548828
3201,CHI,J.Bellamy,WR,24.79248046875
3202,CHI,B.Cunningham,RB,29.979631423950195
3203,CHI,D.Sims,TE,21.831750869750977
3204,CHI,M.Burton,RB,9.574995040893555
3205,CHI,K.White,WR,15.909335136413574
3206,CHI,J.Howard,RB,105.75959014892578
3207,CHI,T.Cohen,RB,64.63258361816406
3208,CHI,M.Trubisky,QB,85.2749252319336
3209,CHI,A.Shaheen,TE,16.240530014038086
3210,IND,D.Inman,WR,60.65013885498047
3211,ARI,P.Cooper,WR,7.301280975341797
3212,LA,R.Woods,WR,74.71277618408203
3213,LA,M.Brown,RB,18.66231346130371
3214,LA,T.Gurley,RB,169.79701232910156
3215,LA,S.Mannion,QB,7.3256049156188965
3216,LA,J.Goff,QB,109.26162719726562
3217,LA,T.Higbee,TE,15.589754104614258
3218,LA,J.Davis,RB,4.301254749298096
3219,LA,G.Everett,TE,15.595035552978516
3220,LA,C.Kupp,WR,90.42808532714844
3221,LA,J.Reynolds,WR,16.58422088623047
3222,DAL,T.Austin,WR,28.51759147644043
3223,KC,S.Watkins,WR,73.84613800048828
3224,OAK,D.Carrier,TE,4.293674468994141
3225,BAL,J.Flacco,QB,134.57359313964844
3226,BAL,M.Williams,TE,17.343791961669922
3227,BAL,J.Allen,RB,30.56960678100586
3228,BAL,N.Boyle,TE,14.625783920288086
3229,BAL,C.Moore,WR,11.952082633972168
3230,BAL,A.Collins,RB,46.178951263427734
3231,NO,B.Watson,TE,55.4581184387207
3232,CLE,B.Perriman,WR,21.183744430541992
3233,BAL,M.Crabtree,WR,106.24437713623047
3234,DAL,J.Olawale,RB,20.042072296142578
3235,DAL,A.Cooper,WR,53.87833786010742
3236,OAK,M.Lynch,RB,154.0448455810547
3237,OAK,J.Cook,TE,51.5844841003418
3238,OAK,L.Smith,TE,18.995237350463867
3239,OAK,D.Carr,QB,99.59918212890625
3240,OAK,S.Roberts,WR,32.75874710083008
3241,OAK,D.Washington,RB,16.945091247558594
3242,OAK,J.Richard,RB,23.471240997314453
3243,NE,C.Patterson,WR,41.85165023803711
3244,BAL,W.Snead IV,WR,47.2768669128418
3245,NO,D.Brees,QB,183.83697509765625
3246,NO,T.Ginn,WR,72.6095962524414
3247,NO,M.Ingram,RB,133.6724090576172
3248,NO,Z.Line,RB,13.160017967224121
3249,NO,J.Hill,TE,13.489519119262695
3250,NO,M.Thomas,WR,86.3189468383789
3251,NO,T.Lewis,WR,19.465757369995117
3252,NO,A.Kamara,RB,117.53805541992188
3253,CHI,C.Daniel,QB,7.547271728515625
3254,BAL,T.Montgomery,RB,32.5615234375
3255,OAK,J.Nelson,WR,101.6152572631836
3256,GB,A.Rodgers,QB,161.35035705566406
3257,GB,L.Kendricks,TE,24.009197235107422
3258,GB,R.Cobb,WR,77.0419921875
3259,GB,D.Adams,WR,92.73536682128906
3260,GB,T.Davis,WR,5.228261470794678
3261,GB,G.Allison,WR,55.047264099121094
3262,GB,A.Jones,RB,57.592227935791016
3263,GB,J.Williams,RB,39.92390823364258
3264,PHI,R.Rodgers,TE,16.938261032104492
3265,NYG,J.Stewart,RB,91.15534973144531
3266,NYG,R.Shepard,WR,22.644853591918945
3267,NYG,K.Clay,WR,1.43438720703125
3268,SEA,E.Dickson,TE,27.476144790649414
3269,CAR,G.Olsen,TE,58.358070373535156
3270,CAR,C.Newton,QB,213.60948181152344
3271,CAR,C.Artis-Payne,RB,63.08198547363281
3272,CAR,D.Funchess,WR,46.89139175415039
3273,CAR,C.Manhertz,TE,16.964168548583984
3274,CAR,D.Byrd,WR,13.46406364440918
3275,CAR,C.McCaffrey,RB,88.11223602294922
3276,CAR,C.Samuel,WR,24.59560203552246
3277,BUF,D.Anderson,QB,6.890751838684082
3278,NYG,C.Latimer,WR,17.007633209228516
3279,NYG,B.Fowler,WR,13.04148006439209
3280,DEN,E.Sanders,WR,82.15676879882812
3281,DEN,J.Heuerman,TE,20.847009658813477
3282,DEN,A.Janovich,RB,10.153783798217773
3283,DEN,D.Booker,RB,35.88151931762695
3284,JAX,J.Charles,RB,104.35636901855469
3285,LA,C.Anderson,RB,70.20099639892578
3286,NYJ,D.Henderson,RB,15.874107360839844
3287,BUF,I.McKenzie,WR,14.197495460510254
3288,HOU,De.Thomas,WR,92.75251007080078
3289,MIA,B.Osweiler,QB,58.11932373046875
3290,LAC,V.Green,TE,18.01656150817871
3291,NYG,C.Coleman,WR,14.987204551696777
3292,JAX,C.Kessler,QB,26.19019317626953
3293,NYJ,I.Crowell,RB,59.82960891723633
3294,NE,J.Gordon,WR,78.23512268066406
3295,CLE,D.Johnson,RB,69.34812927246094
3296,CLE,R.Higgins,WR,37.21126174926758
3297,CLE,S.DeValve,TE,25.00641632080078
3298,CLE,D.Njoku,TE,30.089229583740234
3299,GB,D.Kizer,QB,35.41189193725586
3300,HOU,S.Coates,WR,10.848483085632324
3301,SF,M.Dayes,RB,1.856540560722351
3302,NYG,E.Manning,QB,100.67156982421875
3303,NYG,R.Ellison,TE,20.116666793823242
3304,NYG,O.Beckham,WR,124.9472427368164
3305,NYG,S.Shepard,WR,57.1564826965332
3306,NYG,E.Engram,TE,47.540409088134766
3307,NYG,W.Gallman,RB,13.906768798828125
3308,SEA,B.Marshall,WR,84.63639831542969
3309,OAK,D.Harris,WR,15.199394226074219
3310,LAC,G.Smith,QB,27.892324447631836
3311,SEA,D.Baldwin,WR,80.55995178222656
3312,SEA,R.Wilson,QB,170.61412048339844
3313,SEA,M.Davis,RB,35.44934844970703
3314,SEA,T.Lockett,WR,59.54300308227539
3315,SEA,C.Prosise,RB,15.09798812866211
3316,SEA,N.Vannett,TE,10.422554969787598
3317,SEA,J.McKissic,RB,9.909350395202637
3318,SEA,T.Madden,RB,8.523771286010742
3319,SEA,C.Carson,RB,42.34355926513672
3320,WAS,P.Richardson,WR,37.052459716796875
3321,DET,L.Willson,TE,20.966922760009766
3322,GB,J.Graham,TE,99.01446533203125
3323,TEN,D.Walker,TE,84.08384704589844
3324,TEN,L.Stocker,TE,19.46262550354004
3325,TEN,M.Mariota,QB,121.05692291259766
3326,TEN,D.Henry,RB,91.54141235351562
3327,TEN,D.Fluellen,RB,6.124068737030029
3328,TEN,J.Smith,TE,17.656532287597656
3329,TEN,C.Davis,WR,25.94485855102539
3330,TEN,T.Taylor,WR,21.301206588745117
3331,DET,M.Cassel,QB,31.56806755065918
3332,NYJ,R.Matthews,WR,57.63528823852539
3333,TEN,D.Lewis,RB,89.8552474975586
3334,NO,M.Gillislee,RB,78.1231689453125
3335,LA,B.Cooks,WR,70.5537109375
3336,NE,T.Brady,QB,158.0457305908203
3337,NE,B.Hoyer,QB,5.537389755249023
3338,NE,R.Gronkowski,TE,129.85536193847656
3339,NE,D.Allen,TE,44.94731140136719
3340,NE,J.Develin,RB,8.416765213012695
3341,NE,C.Hogan,WR,54.93773651123047
