,Team,name,pos_keep,predicted_points
3161,ARI,L.Fitzgerald,WR,136.34435391470308
3162,ARI,J.Gresham,TE,45.070503010544954
3163,ARI,J.Nelson,WR,59.91708485605356
3164,ARI,D.Johnson,RB,56.87443104173798
3165,ARI,R.Seals-Jones,TE,55.54761427301757
3166,ARI,C.Williams,WR,37.79053845141506
3167,BAL,J.Brown,WR,46.52238603187658
3168,NYG,E.Penny,RB,27.323975431917187
3169,SEA,J.Brown,WR,44.568456886656406
3170,TEN,B.Gabbert,QB,59.053518723633275
3171,WAS,A.Peterson,RB,127.95046129834455
3172,ARI,S.Bradford,QB,55.48785983773528
3173,NYG,S.Coley,WR,20.086299688778585
3174,WAS,M.Floyd,WR,20.84072488830136
3175,CAR,J.Wright,WR,45.53987703229136
3176,DEN,C.Keenum,QB,150.76496914741705
3177,JAX,B.Bell,TE,14.582895491409111
3178,MIN,K.Rudolph,TE,60.941356796915706
3179,MIN,A.Thielen,WR,103.26440963758316
3180,MIN,L.Murray,RB,74.67500638219607
3181,MIN,S.Diggs,WR,87.84686115474389
3182,MIN,D.Morgan,TE,30.653533429747583
3183,MIN,L.Treadwell,WR,37.38956615070951
3184,MIN,C.Ham,RB,28.66887323373564
3185,MIN,D.Cook,RB,100.15955021103403
3186,NO,T.Bridgewater,QB,39.892244164767185
3187,ARI,D.Coleman,RB,31.74077827103331
3188,ATL,M.Ryan,QB,170.3728337809098
3189,ATL,J.Jones,WR,175.26667909567985
3190,ATL,M.Sanu,WR,65.5615262689272
3191,ATL,D.Freeman,RB,86.3151628296152
3192,ATL,J.Hardy,WR,36.5124728371824
3193,ATL,T.Coleman,RB,81.68586175262361
3194,ATL,A.Hooper,TE,58.48081407359133
3195,ATL,M.Hall,WR,37.81421444177714
3196,CHI,T.Gabriel,WR,38.8511671677849
3197,DET,L.Toilolo,TE,24.597583066323747
3198,LA,N.Williams,WR,9.678250048548009
3199,NYJ,A.Roberts,WR,-10.456410715325973
3200,ARI,M.Glennon,QB,61.81453211839742
3201,CHI,J.Bellamy,WR,50.69152048926922
3202,CHI,B.Cunningham,RB,29.71671287799337
3203,CHI,D.Sims,TE,35.98198901117645
3204,CHI,M.Burton,RB,28.301613830241404
3205,CHI,K.White,WR,42.84149430703438
3206,CHI,J.Howard,RB,111.17045459201316
3207,CHI,T.Cohen,RB,80.46593845454956
3208,CHI,M.Trubisky,QB,100.69263955275264
3209,CHI,A.Shaheen,TE,44.42631124569523
