,Team,name,pos_keep,predicted_points
3553,ARI,L.Fitzgerald,WR,112.3536794192539
3554,ARI,D.Johnson,RB,107.728700300588
3555,ARI,P.Cooper,WR,24.202300999283246
3556,ARI,R.Seals-Jones,TE,52.02461973474049
3557,ARI,C.Williams,WR,43.120856031590044
3558,ARI,T.Logan,RB,29.9237266610738
3559,ARI,T.Sherfield,WR,49.11850501682437
3560,ARI,C.Edmonds,RB,49.42046532159688
3561,ARI,C.Kirk,WR,79.0560835103328
3562,OAK,M.Glennon,QB,53.43244822779299
3563,OAK,J.Nelson,WR,50.94298577387488
3564,MIA,J.Rosen,QB,95.21052218392012
3565,TEN,J.Tolliver,WR,29.161381025564236
3566,ARI,M.Williams,TE,18.267469843480008
3567,DEN,J.Flacco,QB,101.02483130230232
3568,BUF,J.Brown,WR,32.72528701890586
3569,NO,J.Allen,RB,51.63135042540991
3570,BAL,N.Boyle,TE,34.43303921689892
3571,BAL,C.Moore,WR,28.433192531298083
3572,BAL,K.Dixon,RB,58.99562240048124
3573,BAL,G.Edwards,RB,83.98993974099703
3574,BAL,D.Turner,RB,27.134258788616687
3575,BAL,M.Andrews,TE,63.426627745031254
3576,BAL,L.Jackson,QB,101.92031643243803
3577,BAL,H.Hurst,TE,38.031395685963155
3578,NYJ,T.Montgomery,RB,30.23884739975706
3579,NYJ,T.White,WR,9.729203232383913
3580,ARI,D.Anderson,QB,40.52923081483487
3581,ARI,C.Clay,TE,38.58963270852747
3582,OAK,N.Peterman,QB,63.335528073249634
3583,BUF,L.McCoy,RB,136.51224214143403
3584,BUF,M.Barkley,QB,23.4433941355255
3585,BUF,M.Murphy,RB,34.10778709661386
3586,BUF,I.McKenzie,WR,35.89035948471697
3587,BUF,Z.Jones,WR,63.19227273607851
3588,BUF,J.Croom,TE,37.25439679343223
3589,BUF,R.McCloud,WR,21.2742286718645
3590,BUF,R.Foster,WR,71.49782654062429
3591,BUF,C.Phillips,WR,21.229882284977016
3592,BUF,J.Allen,QB,119.91657493461267
3593,NYJ,D.Thompson,WR,32.39110675153034
3594,HOU,T.Jones,RB,24.525526141670362
3595,JAX,T.Pryor,WR,60.975163156623175
3596,DET,L.Thomas,TE,42.680265310122095
3597,ARI,D.Byrd,WR,15.288427516205566
3598,ATL,K.Barner,RB,21.323460337256677
3599,CAR,G.Olsen,TE,35.673519861446415
3600,CAR,C.Newton,QB,168.14929955113217
3601,CAR,T.Smith,WR,14.88592410736417
3602,CAR,J.Wright,WR,31.885213730651785
3603,CAR,C.Artis-Payne,RB,25.46281174222032
3604,CAR,C.Manhertz,TE,17.156408169659613
3605,CAR,T.Heinicke,QB,19.012993468195766
3606,CAR,C.McCaffrey,RB,128.86217505295414
3607,CAR,C.Samuel,WR,47.93928853911779
3608,CAR,I.Thomas,TE,37.68428077215215
3609,CAR,K.Allen,QB,22.49039942912716
3610,CAR,D.Moore,WR,73.98535421360421
3611,IND,D.Funchess,WR,41.20090948073776
3612,CLE,G.Gilbert,QB,8.319827153604148
3613,ARI,K.White,WR,42.312501155686945
3614,NYJ,J.Bellamy,WR,31.803307852502684
3615,JAX,B.Cunningham,RB,19.221644857884296
